"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,-430.097010,0,0,-0.310044,214.185879
2001,-473.481661,0,0,-0.200976,217.013015
2002,-478.787675,0,0,-0.201386,213.063082
2003,-483.901184,0,0,-0.201758,220.745485
2004,-477.986712,0,0,-0.155302,236.297778
2005,-483.267220,0,0,-0.157584,216.438198
2006,-488.516915,0,0,-0.159692,287.217848
2007,-488.470866,0,0,-0.081569,218.340040
2008,-489.113975,0,0,-0.081444,203.150754
2009,-489.728884,0,0,-0.081284,206.924722
2010,-536.340751,0,0,-0.112236,210.279477
2011,-542.035600,0,0,-0.112167,218.609982
2012,-564.144013,0,0,0.017016,232.587451
2013,-539.625295,0,0,-0.460928,219.928667
2014,-520.167427,0,0,-0.005900,250.213430
2015,-488.349906,0,0,-0.052943,254.746431
2016,-494.500668,0,0,-0.182000,189.151059
2017,-488.209635,0,0,-0.164968,181.280038
2018,-454.021478,0,0,-0.061894,180.300402
2019,-457.143509,0,0,-0.011389,205.938093
2020,-474.356488,0,0,-0.002509,221.484108
2021,-474.011048,0,0,-0.007385,213.763442
2022,-486.147246,0,0,-0.001592,219.601297
