"YYYYMM","Natural gas"
201001,20.161933
201002,18.990439
201003,19.238858
201004,18.540314
201005,28.216378
201006,17.630405
201007,17.548597
201008,17.983771
201009,16.979994
201010,18.364570
201011,18.586093
201012,21.364017
201101,0
201102,0
201103,0
201104,0
201105,0
201106,0
201107,0
201108,0
201109,0
201110,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201208,0
201209,0
201210,0
201211,0
201212,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
201312,0
201401,0
201402,0
201403,20.414206
201404,18.885824
201405,19.095523
201406,17.601206
201407,17.791534
201408,13.712177
201409,17.584599
201410,16.263788
201411,18.287543
201412,20.098322
201501,19.896424
201502,17.905269
201503,19.401039
201504,19.011958
201505,19.654444
201506,19.132825
201507,19.618642
201508,19.847673
201509,19.263531
201510,19.885169
201511,20.213562
201512,21.126873
201601,22.226226
201602,20.517419
201603,21.646950
201604,20.713989
201605,20.107846
201606,18.569807
201607,18.697114
201608,19.021126
201609,18.516465
201610,20.280572
201611,20.701691
201612,21.420531
201701,22.518979
201702,20.891090
201703,22.413306
201704,20.909002
201705,21.467070
201706,19.534880
201707,19.240507
201708,19.125615
201709,18.390184
201710,20.859235
201711,21.066523
201712,20.822235
201801,22.362169
201802,20.615836
201803,23.213954
201804,17.257740
201805,21.964551
201806,19.033124
201807,19.729870
201808,19.386847
201809,19.002318
201810,20.986544
201811,20.432377
201812,21.353555
201901,21.922366
201902,19.628687
201903,21.262549
201904,20.157913
201905,20.059388
201906,18.289851
201907,19.551687
201908,19.470709
201909,18.923172
201910,20.254872
201911,19.669163
201912,20.457021
202001,20.891553
202002,19.583420
202003,21.305800
202004,20.095399
202005,19.599347
202006,18.607326
202007,19.461401
202008,18.456774
202009,18.604635
202010,18.305494
202011,18.664982
202012,19.239993
202101,21.241486
202102,21.018926
202103,21.519832
202104,20.932855
202105,20.937733
202106,19.214148
202107,18.597759
202108,17.933901
202109,17.762757
202110,19.482428
202111,19.316352
202112,21.149368
202201,21.284734
202202,19.399933
202203,20.806378
202204,20.120968
202205,19.789077
202206,17.938329
202207,18.397009
202208,18.294644
202209,17.897832
202210,18.259085
202211,18.516682
202212,20.581549
202301,20.617268
202302,19.961701
202303,20.134149
202304,19.436887
202305,20.070059
202306,18.438753
202307,18.123716
202308,17.876703
202309,17.820018
202310,18.706802
202311,19.374733
202312,20.404678
202401,21.078478
202402,19.196890
202403,20.291552
202404,19.696082
202405,18.237154
202406,18.098406
202407,18.089972
202408,18.239283
202409,17.804603
202410,21.223890
202411,18.777364
202412,17.710733
202501,20.085214
202502,18.039032
202503,19.332362
