"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,10.228480,,
1991,9.102794,,
1992,7.072772,,
1993,6.457245,,
1994,6.102920,,
1995,5.370821,,
1996,5.025243,,
1997,5.520060,,
1998,5.689740,,
1999,5.729700,,
2000,5.754214,,
2001,5.809636,,
2002,5.378953,,
2003,5.033767,,
2004,5.081016,,
2005,5.373892,,
2006,6.705536,,
2007,6.807172,,
2008,7.082304,,
2009,7.150713,,
2010,7.070463,,
2011,7.090803,,
2012,7.946164,,
2013,9.721470,,
2014,9.904052,,
2015,11.167730,,
2016,10.481320,,
2017,11.355463,,
2018,12.604784,,
2019,12.473448,,
2020,13.804085,,
2021,14.944744,,
2022,16.015623,,
