"Year","Uzbekistan","World"
1950,2.746770,2.378734
1951,2.901642,2.515504
1952,3.032021,2.502896
1953,3.126788,2.524970
1954,3.321303,2.527923
1955,3.666075,2.716614
1956,3.919720,2.835461
1957,4.175156,2.869636
1958,4.335315,2.891376
1959,4.418690,2.985590
1960,4.451537,3.112931
1961,4.439165,3.071906
1962,4.497150,3.120741
1963,4.656624,3.215595
1964,4.782992,3.315825
1965,4.894874,3.391959
1966,4.989121,3.484865
1967,5.045038,3.523155
1968,5.021297,3.640223
1969,5.065919,3.802135
1970,5.154262,4.032588
1971,5.324847,4.112597
1972,5.444314,4.219747
1973,5.515451,4.355556
1974,5.564865,4.253289
1975,5.684477,4.173319
1976,5.735063,4.310191
1977,5.760557,4.352449
1978,5.795223,4.432504
1979,5.688432,4.465701
1980,5.754057,4.364099
1981,5.505623,4.168842
1982,5.464855,4.060496
1983,5.397364,4.023942
1984,5.299907,4.068703
1985,5.554127,4.137420
1986,5.177206,4.122175
1987,5.160320,4.179654
1988,5.195475,4.262697
1989,5.212288,4.241189
1990,5.039027,4.266701
1991,4.881197,4.282473
1992,5.165952,4.090168
1993,5.258293,4.068620
1994,4.887379,4.047994
1995,4.573087,4.083544
1996,4.632963,4.148108
1997,4.588964,4.114970
1998,5.012491,4.044522
1999,5.049340,4.079117
2000,4.981571,4.133621
2001,5.030734,4.107635
2002,5.219553,4.144280
2003,5.067656,4.307030
2004,4.959756,4.399256
2005,4.613642,4.493561
2006,4.678025,4.585831
2007,4.573152,4.661509
2008,4.669500,4.682571
2009,3.909534,4.545518
2010,3.793071,4.744937
2011,4.050717,4.848876
2012,4.061949,4.854014
2013,3.781270,4.837742
2014,3.556750,4.804597
2015,3.361814,4.739116
2016,3.510911,4.682487
2017,3.421926,4.705259
2018,3.160928,4.752195
2019,3.274630,4.747814
2020,3.219723,4.457744
2021,3.596622,4.634748
2022,3.408959,4.678452
2023,3.446397,4.707772
2024,3.829127,4.729075
