"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-5.569303,-9.150959,-1.339481,0,0,0,0,0
1991,-5.733786,-9.631651,0.589122,0,0,0,0,0
1992,-5.869276,-9.865342,0.590107,0,0,0,0,0
1993,-5.179682,-10.003785,0.110241,0,0,0,0,0
1994,-6.153926,-9.255834,0.331186,0,0,0,0,0
1995,-7.096762,-8.132389,0.570093,0,0,0,0,0
1996,-8.193394,-8.262644,6.768945,0,0,0,0,0
1997,-9.170055,-7.861142,6.756677,0,0,0,0,0
1998,-10.055400,-5.931284,7.093249,0,0,0,0,0
1999,-10.140278,-7.208283,6.941735,0,0,0,0,0
2000,-10.223949,-5.378812,6.812313,0,0,0,0,0
2001,-10.136077,-4.376428,6.577925,0,0,0,0,0
2002,-10.702553,-3.551431,9.834944,0,0,0,0,0
2003,-10.641261,-5.323466,10.181904,0,0,0,0,0
2004,-10.771915,-3.434961,7.635346,0,0,0,0,0
2005,-9.283039,-2.349265,9.659834,0,0,0,0,0
2006,-9.485369,-3.100510,11.155313,0,0,0,0,0
2007,-9.646584,-2.063403,10.739601,0,0,0,0,0
2008,-8.626469,-1.641616,11.001956,0,0,0,0,0
2009,-8.825317,-1.970254,11.244798,0,0,0,0,0
2010,-9.027298,-2.342642,11.202459,0,0,0,0,0
2011,-9.249560,-1.619061,9.225319,0,0,0,0,0
2012,-9.444650,-1.888747,9.176040,0,0,0,0,0
2013,-9.635717,-1.597167,9.585935,0,0,0,0,0
2014,-8.549624,-1.773629,6.246213,0,0,0,0,0
2015,-7.440893,-2.121195,5.665886,0,0,0,0,0
2016,-6.353143,-1.924232,5.228103,0,0,0,0,0
2017,-5.198333,-1.707115,5.025100,0,0,0,0,0
2018,-4.112565,-2.033592,4.829718,0,0,0,0,0
2019,-4.091725,-2.608563,4.740209,0,0,0,0,0
2020,-4.280068,-2.859770,4.151269,0,0,0,0,0
2021,-4.431098,-4.062685,3.964091,0,0,0,0,0
2022,-5.010331,-4.074153,0.624225,0,0,0,0,0
