"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.655088,,,-3.910165,
1991,-1.700212,,,-4.029403,
1992,-1.745337,,,-4.119670,
1993,-1.790462,,,-3.385453,
1994,-1.983920,,,-4.165530,
1995,-2.177378,,,-4.914223,
1996,-2.370828,,,-5.816607,
1997,-2.564286,,,-6.599099,
1998,-2.760659,,,-7.287427,
1999,-2.766202,,,-7.366702,
2000,-2.771744,,,-7.444769,
2001,-2.777279,,,-7.351426,
2002,-2.782822,,,-7.911948,
2003,-2.788364,,,-7.845158,
2004,-2.840467,,,-7.923614,
2005,-2.892579,,,-6.383709,
2006,-2.944682,,,-6.533789,
2007,-3.019665,,,-6.619904,
2008,-3.077626,,,-5.542756,
2009,-3.135555,,,-5.684884,
2010,-3.194064,,,-5.827012,
2011,-3.274072,,,-5.969147,
2012,-3.326549,,,-6.111275,
2013,-3.376739,,,-6.253403,
2014,-3.302326,,,-5.241368,
2015,-3.206965,,,-4.229325,
2016,-3.131245,,,-3.217293,
2017,-2.989398,,,-2.205250,
2018,-2.916573,,,-1.193215,
2019,-2.947400,,,-1.141420,
2020,-3.061260,,,-1.222836,
2021,-3.104088,,,-1.324403,
2022,-3.162881,,,-1.843842,
