"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,,10.528800,10.614587,10.614587,10.525810,10.535487,10.247822,10.271271,10.327259,10.327292,10.321580,10.322236,10.181268,10.181264,10.217291,10.218474,10.218661,10.218676,10.211043,10.206633,10.206633
1991,,,10.856300,10.970441,10.970441,11.078539,11.081087,10.847057,10.863032,10.927362,10.927395,10.932959,10.926563,10.875673,10.871491,10.913787,10.914735,10.914927,10.914940,10.906939,10.894192,10.894192
1992,,,10.745550,10.868544,10.868544,10.898279,10.915064,10.695386,10.712295,10.768386,10.768424,10.789765,10.780503,10.707305,10.698672,10.736601,10.751974,10.752162,10.752181,10.745175,10.733742,10.733742
1993,,,11.024540,11.134203,11.134203,11.044951,11.047139,10.839309,10.853929,10.913015,10.913053,10.927182,10.926401,10.869558,10.862261,10.902881,10.914741,10.914927,10.914948,10.912313,10.900586,10.900586
1994,,,10.309260,10.421936,10.421936,10.285130,10.289432,10.113982,10.128907,10.192312,10.192351,10.205802,10.205547,10.150196,10.142942,10.186031,10.198162,10.198345,10.198362,10.198948,10.182617,10.182617
1995,,,8.194410,8.328137,8.328137,8.397319,8.399594,8.135744,8.150903,8.213418,8.213456,8.227548,8.162481,8.118881,8.112525,8.154202,8.164828,8.165004,8.165020,8.169426,8.152407,8.152407
1996,,,8.300640,8.448241,8.448241,8.497049,8.499607,8.239413,8.253758,8.317956,8.317995,8.345514,8.281122,8.221785,8.216131,8.259228,8.270591,8.270724,8.270731,8.276688,8.258999,8.258999
1997,,,7.728030,7.903071,7.903071,7.981043,7.978368,7.647717,7.659105,7.728970,7.729010,7.780030,7.705847,7.682748,7.678500,7.725184,7.733002,7.733158,7.733166,7.743249,7.730175,7.731766
1998,7.047960,,7.084520,7.307049,7.307049,7.308095,7.303629,6.924434,6.931025,7.000368,7.000368,7.053562,6.953894,6.958779,6.958715,7.005805,7.014375,7.014736,7.014754,7.002223,6.996415,6.998553
1999,,,7.626170,7.859329,7.859329,7.664017,7.658179,7.292025,7.294145,7.367098,7.367098,7.360656,7.285537,7.373829,7.373323,7.423240,7.430860,7.431261,7.431291,7.421172,7.424018,7.426022
2000,8.231803,,8.109870,8.315661,8.315661,8.171864,8.154915,8.035583,7.889085,8.044961,8.044253,8.026679,8.071404,7.929342,7.929050,7.984625,7.987699,7.988111,7.988157,7.981989,7.983544,7.983544
2001,,,8.434710,8.681456,8.681456,8.569752,8.545281,8.622277,8.442437,8.618223,8.617020,8.612137,8.640830,8.479491,8.479499,8.535257,8.539778,8.540185,8.540267,8.538373,8.541019,8.541019
2002,9.418970,,9.221330,9.483042,9.473941,9.614786,9.592135,9.364826,9.191802,9.362764,9.362277,9.394436,9.381169,9.237782,9.237654,9.293868,9.298420,9.298881,9.298986,9.296085,9.298353,9.298312
2003,,9.954810,9.739230,9.916458,9.909113,10.143778,10.118325,9.882181,9.708356,9.826514,9.774595,9.929273,9.810876,9.762658,9.762627,9.820338,9.827132,9.827831,9.828085,9.821562,9.823035,9.822694
2004,,,11.210980,11.490158,11.500783,11.533658,11.505637,11.202784,11.013298,11.155431,11.154556,11.318563,11.182600,11.079055,11.078771,11.142026,11.138055,11.141493,11.141674,11.134468,11.136034,11.133123
2005,,,,11.438202,11.438903,11.668125,11.612273,11.483588,11.298146,11.437082,11.435943,11.577775,11.466961,11.364506,11.368256,11.428805,11.425523,11.426405,11.426787,11.418617,11.420187,11.419609
2006,,,,,11.435376,11.530731,11.483026,11.308150,11.099920,11.246694,11.245814,11.363876,11.277723,11.152776,11.149387,11.207835,11.206870,11.209461,11.209637,11.200317,11.201494,11.198370
2007,,,,,,11.138378,11.089629,10.712573,10.523523,10.669855,10.668975,10.768558,10.688808,10.570250,10.548120,10.611562,10.613378,10.615800,10.616210,10.605452,10.606756,10.603939
2008,,,,,,,10.831426,10.629332,10.416545,10.561181,10.560313,10.614702,10.595590,10.493106,10.469428,10.536229,10.533158,10.535470,10.535850,10.523991,10.525225,10.521888
2009,,,,,,,,10.129924,9.945420,10.124523,10.123868,10.148697,10.144251,10.024178,9.995771,10.059258,10.055939,10.059762,10.059982,10.051630,10.049637,10.043590
2010,,,,,,,,,10.481791,10.659691,10.659228,10.694335,10.680383,10.569544,10.538842,10.602273,10.604631,10.606037,10.600566,10.596251,10.596161,10.591658
2011,,,,,,,,,,10.518213,10.531510,10.529281,10.550404,10.458811,10.420622,10.483144,10.485286,10.490898,10.491108,10.490896,10.490330,10.482432
2012,,,,,,,,,,,10.326181,10.260162,10.314361,10.248474,10.219772,10.279184,10.283830,10.288060,10.289024,10.293971,10.293844,10.285230
2013,,,,,,,,,,,,9.673021,9.761994,9.717726,9.683652,9.747453,9.755900,9.762506,9.767031,9.780819,9.781313,9.771109
2014,,,,,,,,,,,,,9.280340,9.237411,9.197011,9.264817,9.265002,9.271852,9.263776,9.259520,9.258011,9.248836
2015,,,,,,,,,,,,,,8.753466,8.706127,8.778513,8.781139,8.792296,8.791580,8.795594,8.795889,8.785684
2016,,,,,,,,,,,,,,,8.423668,8.498502,8.502465,8.514276,8.510602,8.515988,8.516564,8.504209
2017,,,,,,,,,,,,,,,,8.659443,8.665697,8.674411,8.674135,8.681147,8.681838,8.670101
2018,,,,,,,,,,,,,,,,,8.977237,8.975649,8.973791,8.981084,8.981492,8.970194
2019,,,,,,,,,,,,,,,,,,9.139040,9.138539,9.155715,9.156006,9.145008
2020,,,,,,,,,,,,,,,,,,,7.522249,7.492450,7.491658,7.486352
2021,,,,,,,,,,,,,,,,,,,,7.908625,7.908904,7.898286
2022,,,,,,,,,,,,,,,,,,,,,6.787777,6.785990
2023,,,,,,,,,,,,,,,,,,,,,,6.473724
