"Year","Natural gas","Hydro","Wind","Solar"
2017,-0.036202,-0.105066,0.133337,0.008175
2018,-0.024125,-0.084701,0.019752,0.010262
2019,-0.002974,-0.388956,0.026708,0.011660
2020,-0.006152,0.146798,0.069852,0.030876
2021,-0.010594,-0.011718,-0.036822,0.018926
2022,-0.070532,0.041221,-0.002092,0.096081
2023,-0.014728,0.110076,0.183068,0.017646
2024,-0.019324,0.103946,-0.028493,0.065682
2025,-0.005130,-0.548491,0.003398,0.074060
2026,-0.001326,-0.010608,-0.005566,-0.002958
