"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.069596,1.072683,-0.031801,-0.005800,-0.018695,
1991,-1.069781,1.005156,-0.031828,-0.005800,-0.018662,
1992,-1.069966,0.599790,-0.031856,-0.005800,-0.018683,
1993,-1.070151,0.476035,-0.031883,-0.005800,-0.018782,
1994,-1.070336,0.625682,-0.031911,-0.005800,-0.018912,
1995,-1.070522,0.556925,-0.031939,-0.005800,-0.018999,
1996,-1.070707,0.524433,-0.031966,-0.005800,-0.019051,
1997,-1.070892,0.442574,-0.031994,-0.005800,-0.019048,
1998,-1.071077,0.554539,-0.032022,-0.005800,-0.018626,
1999,-1.071262,0.478367,-0.032049,-0.005800,-0.018168,
2000,-1.071504,0.470400,-0.032072,-0.005779,-0.017667,
2001,-1.071746,0.492715,-0.037137,-0.005757,-0.017175,
2002,-1.071987,0.467968,-0.037211,-0.005735,-0.016699,
2003,-1.072229,0.483823,-0.037059,-0.005713,-0.016273,
2004,-1.072471,0.455025,-0.036945,-0.005692,-0.015782,
2005,-1.072713,0.493838,-0.037394,-0.005670,-0.015327,
2006,-1.072954,0.567503,-0.036596,-0.005648,-0.014479,
2007,-1.073196,0.654202,-0.036732,-0.005627,-0.013629,
2008,-1.073145,0.660531,-0.036421,-0.005380,-0.012765,
2009,-1.073093,0.652396,-0.036378,-0.005134,-0.011000,
2010,-1.073042,0.889754,-0.036478,-0.004887,-0.010176,
2011,-1.072990,0.805553,-0.036170,-0.004640,-0.009385,
2012,-1.072939,0.732583,-0.036502,-0.004394,-0.008561,
2013,-1.072481,0.549517,-0.036647,-0.004181,-0.007681,
2014,-1.072023,0.636863,-0.036631,-0.003969,-0.006681,
2015,-1.071566,0.692800,-0.036788,-0.003756,-0.005746,
2016,-1.071358,0.617463,-0.037085,-0.003477,-0.004862,
2017,-1.071151,0.680749,-0.037179,-0.003199,-0.004077,
2018,-1.070943,0.816495,-0.037026,-0.002920,-0.003694,
2019,-1.070874,0.693307,-0.036973,-0.002696,-0.003357,
2020,-1.070806,0.619038,-0.036953,-0.002494,-0.002978,
2021,-1.070737,0.465043,-0.036934,-0.002292,-0.002594,
2022,-1.070668,0.419321,-0.037126,-0.002090,-0.002202,
2023,-1.070599,0.492778,-0.036975,-0.001888,-0.001746,
2024,-1.070530,0.529259,-0.036563,-0.001686,-0.001366,
