"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,12.104440,12.219204,12.219204,12.136015,12.158486,11.870822,11.894270,11.950259,11.950292,11.960638,11.961504,11.812046,11.812041,11.847735,11.847635,11.823338,11.823353,11.815503,11.813174,11.809167,11.811126
1991,12.382860,12.497996,12.497996,12.611073,12.625652,12.391622,12.407597,12.471927,12.471960,12.493464,12.487282,12.428209,12.424027,12.466072,12.465788,12.443139,12.443151,12.434925,12.423834,12.420411,12.422269
1992,12.172160,12.326145,12.326145,12.360088,12.388826,12.169148,12.186056,12.242148,12.242185,12.278928,12.269882,12.188827,12.180194,12.217954,12.232160,12.209704,12.209723,12.202474,12.192271,12.189432,12.191168
1993,12.518850,12.571853,12.571853,12.486039,12.497984,12.290153,12.304773,12.363859,12.363897,12.392894,12.392332,12.327926,12.320629,12.361328,12.372806,12.354743,12.354764,12.351908,12.341043,12.338294,12.338384
1994,11.622860,11.766546,11.766546,11.632184,11.647285,11.471835,11.486760,11.550165,11.550189,11.578819,11.578787,11.516204,11.508950,11.552153,11.563928,11.542458,11.542475,11.542851,11.525180,11.523991,11.524384
1995,9.157550,9.312462,9.312462,9.384521,9.396246,9.132397,9.147555,9.210070,9.210077,9.238896,9.174054,9.124436,9.118080,9.159851,9.170300,9.151714,9.151729,9.155929,9.135568,9.134483,9.134859
1996,9.216780,9.377069,9.377069,9.428698,9.440511,9.180317,9.194662,9.258860,9.258849,9.300592,9.236429,9.171134,9.165480,9.208660,9.219908,9.201608,9.201614,9.207411,9.186138,9.185693,9.186115
1997,8.569300,8.723047,8.723047,8.803726,8.810542,8.479891,8.491278,8.561143,8.561098,8.625806,8.551853,8.523010,8.518762,8.565568,8.573106,8.553962,8.553970,8.563894,8.546759,8.547978,8.548601
1998,7.742340,7.968033,7.968033,7.970948,7.975945,7.596749,7.603340,7.672683,7.672569,7.739677,7.640243,7.639437,7.639373,7.686631,7.695073,7.675930,7.675949,7.663257,7.654722,7.656827,7.656343
1999,8.316240,8.558006,8.558006,8.364311,8.368326,8.002172,8.004292,8.077246,8.077077,8.082464,8.007564,8.090964,8.090459,8.140468,8.147984,8.127845,8.127875,8.117591,8.117361,8.119314,8.122235
2000,8.827760,9.040462,9.040462,8.897309,8.890691,8.771359,8.624862,8.780737,8.779826,8.774148,8.819116,8.673161,8.672870,8.728602,8.731566,8.709917,8.709963,8.703619,8.702433,8.702319,8.705114
2001,9.096110,9.349651,9.349651,9.239902,9.224274,9.301271,9.121431,9.297217,9.295786,9.302594,9.331521,9.166116,9.166124,9.222073,9.226367,9.207449,9.207531,9.205489,9.205636,9.205365,9.210174
2002,10.030680,10.166999,10.157898,10.300816,10.287142,10.059833,9.886810,10.057771,10.057101,10.101803,10.088770,9.942376,9.942248,9.998704,10.003049,9.983581,9.983685,9.980627,9.978711,9.978491,9.979759
2003,10.486280,10.541532,10.534187,10.770929,10.753210,10.517065,10.343240,10.461398,10.416192,10.582901,10.464780,10.411664,10.411634,10.469579,10.476019,10.458916,10.459170,10.452518,10.451037,10.450939,10.454752
2004,11.978010,12.156867,12.167492,12.204389,12.184696,11.881844,11.692357,11.834490,11.853435,12.027626,11.891924,11.785515,11.785232,11.848688,11.844306,11.828910,11.829091,11.821717,11.819385,11.815994,11.816400
2005,,12.063588,12.064290,12.330883,12.283044,12.154359,11.968917,12.107853,12.106668,12.260735,12.150181,12.044643,12.048396,12.109271,12.105448,12.087022,12.087836,12.079575,12.076765,12.075892,12.075608
2006,,,12.108289,12.245749,12.205588,12.030712,11.822482,11.969256,11.968350,12.098017,12.012040,11.882636,11.879257,11.937960,11.936284,11.919754,11.920357,11.910985,11.908740,11.905623,11.906034
2007,,,,11.844037,11.802358,11.425302,11.236252,11.382583,11.381625,11.494534,11.414955,11.290948,11.268835,11.332534,11.333584,11.316965,11.317780,11.306903,11.304986,11.302203,11.303787
2008,,,,,11.477922,11.277254,11.064467,11.209103,11.207202,11.277287,11.258432,11.155914,11.132260,11.199299,11.195246,11.183688,11.184473,11.172490,11.169353,11.166763,11.164126
2009,,,,,,10.710062,10.525558,10.704662,10.703315,10.744480,10.740168,10.616842,10.588453,10.652279,10.647821,10.638338,10.638966,10.630350,10.625156,10.619787,10.616455
2010,,,,,,,11.077443,11.255343,11.255139,11.306976,11.294320,11.184966,11.154289,11.217354,11.219294,11.207250,11.202164,11.197591,11.194660,11.190507,11.188063
2011,,,,,,,,11.125581,11.138341,11.158003,11.179888,11.088426,11.050370,11.113110,11.114555,11.102383,11.102959,11.102366,11.097074,11.089509,11.086045
2012,,,,,,,,,10.870108,10.827440,10.882323,10.816350,10.788081,10.847493,10.851399,10.866201,10.867476,10.872003,10.866492,10.857971,10.854226
2013,,,,,,,,,,10.213625,10.305282,10.266723,10.233338,10.296991,10.303872,10.320571,10.325364,10.338725,10.333663,10.323408,10.320148
2014,,,,,,,,,,,9.829929,9.797158,9.757506,9.825225,9.825216,9.836045,9.828191,9.823495,9.816077,9.806854,9.803693
2015,,,,,,,,,,,,9.305962,9.259659,9.330919,9.333169,9.347989,9.347466,9.350996,9.345265,9.333977,9.335573
2016,,,,,,,,,,,,,9.002956,9.075991,9.080253,9.092741,9.089235,9.094195,9.090387,9.077205,9.077080
2017,,,,,,,,,,,,,,9.243461,9.250402,9.261344,9.261198,9.267992,9.262836,9.251006,9.250761
2018,,,,,,,,,,,,,,,9.568520,9.568440,9.566671,9.573905,9.567291,9.556162,9.557469
2019,,,,,,,,,,,,,,,,9.752160,9.751728,9.769623,9.761764,9.749969,9.751579
2020,,,,,,,,,,,,,,,,,8.096513,8.067690,8.074925,8.069083,8.072792
2021,,,,,,,,,,,,,,,,,,8.429713,8.420578,8.409505,8.414165
2022,,,,,,,,,,,,,,,,,,,7.276724,7.274379,7.268603
2023,,,,,,,,,,,,,,,,,,,,6.840733,6.823202
2024,,,,,,,,,,,,,,,,,,,,,6.525403
