"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,,-0.294930,-0.294930,-0.294930,0.208307,0.344891,0.344901,0.344901,0.344901,0.344901,0.326397,0.047515,0.027013,0.027013,0.103234,0.079924,0.063515,0.146773,-0.001152,-0.001163,0.001519
1991,,,-0.294930,-0.294930,-0.294930,0.031272,0.169570,0.169579,0.169579,0.169579,0.169579,0.150957,-0.229725,-0.250227,-0.250227,-0.191839,-0.215529,-0.231784,-0.145669,-0.069055,-0.069065,-0.066270
1992,,,-0.294930,-0.294930,-0.294930,-0.339367,-0.198611,-0.198601,-0.198601,-0.198601,-0.198601,-0.217342,-0.558904,-0.579407,-0.579407,-0.542227,-0.565918,-0.582021,-0.493049,-0.474664,-0.474675,-0.471856
1993,,,-0.294930,-0.294930,-0.294930,-0.450904,-0.308685,-0.308676,-0.308676,-0.308676,-0.308676,-0.327536,-0.653967,-0.674469,-0.674469,-0.643278,-0.669874,-0.685824,-0.593995,-0.601362,-0.601373,-0.598614
1994,,,-0.294930,-0.294930,-0.294930,-0.281418,-0.138815,-0.138805,-0.138805,-0.138805,-0.138805,-0.158092,-0.464783,-0.485285,-0.485285,-0.441602,-0.470220,-0.486019,-0.391333,-0.453578,-0.453588,-0.450887
1995,,,-0.294930,-0.294930,-0.294930,-0.384992,-0.240958,-0.240948,-0.240948,-0.240948,-0.240948,-0.259984,-0.567860,-0.588362,-0.588362,-0.551188,-0.590256,-0.605902,-0.508360,-0.532783,-0.532793,-0.529918
1996,,,-0.294930,-0.294930,-0.294930,-0.559235,-0.413496,-0.413487,-0.413487,-0.413487,-0.413487,-0.432391,-0.608280,-0.628783,-0.628783,-0.594045,-0.636372,-0.651868,-0.551470,-0.568509,-0.568519,-0.565575
1997,,,-0.294930,-0.294930,-0.294930,-0.600877,-0.453940,-0.453930,-0.453930,-0.453930,-0.453930,-0.473309,-0.691013,-0.711515,-0.711515,-0.681963,-0.728362,-0.743707,-0.640453,-0.654449,-0.654459,-0.651440
1998,-0.294927,,-0.294930,-0.294930,-0.294930,-0.345350,-0.198357,-0.198347,-0.198347,-0.198347,-0.198347,-0.218283,-0.575435,-0.595937,-0.595937,-0.558679,-0.611292,-0.626488,-0.520378,-0.548569,-0.548580,-0.543310
1999,,,-0.294930,-0.294930,-0.294930,-0.470176,-0.321670,-0.321660,-0.321660,-0.321660,-0.321660,-0.340701,-0.673145,-0.693647,-0.693647,-0.662549,-0.705293,-0.720339,-0.611374,-0.614879,-0.614889,-0.607403
2000,-0.294927,,-0.294930,-0.294930,-0.294930,-0.471508,-0.388231,-0.388230,-0.388230,-0.388230,-0.388230,-0.409413,-0.706415,-0.723018,-0.723018,-0.692503,-0.738539,-0.743140,-0.617784,-0.624895,-0.624905,-0.614976
2001,,,-0.294930,-0.294930,-0.294930,-0.542267,-0.454356,-0.454355,-0.454355,-0.454355,-0.454355,-0.474514,-0.718642,-0.734397,-0.734397,-0.703212,-0.721768,-0.724835,-0.607752,-0.603513,-0.603523,-0.591031
2002,-0.294927,,-0.294930,-0.294930,-0.294930,-0.546324,-0.454032,-0.454031,-0.454031,-0.454031,-0.454031,-0.473382,-0.720568,-0.735475,-0.735475,-0.704755,-0.719618,-0.721149,-0.586023,-0.599040,-0.599050,-0.610123
2003,,-0.294930,-0.294930,-0.294930,-0.294930,-0.559190,-0.462484,-0.462482,-0.462482,-0.462482,-0.462482,-0.480321,-0.683732,-0.697791,-0.697791,-0.665010,-0.675656,-0.675654,-0.548399,-0.579306,-0.579316,-0.588061
2004,,,-0.294930,-0.294930,-0.294930,-0.518133,-0.417216,-0.417215,-0.417215,-0.417215,-0.417215,-0.433233,-0.688023,-0.701234,-0.701234,-0.669067,-0.696688,-0.695151,-0.575790,-0.625454,-0.625465,-0.631665
