"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
202110,0.028541,0.568195,0.128287,
202111,0.030896,0.537326,0.169936,
202112,0.013370,0.510969,0.173933,
202201,0.026233,0.440576,0.199746,
202202,0.019454,0.490460,0.158160,
202203,0.007387,0.585379,0.145337,
202204,0.024353,0.479984,0.114834,
202205,0.024729,0.487152,0.071731,
202206,0.015691,0.414626,0.056278,
202207,0.023657,0.442439,0.051310,
202208,0.024668,0.417703,0.043543,
202209,0.028552,0.418346,0.066102,
202210,0.008656,0.388104,0.081843,
202211,0.008575,0.405061,0.112011,
202212,0.024665,0.439845,0.148143,
202301,0.024858,0.393322,0.153024,
202302,0.002452,0.431733,0.138631,
202303,0.025180,0.482208,0.134722,
202304,0.005537,0.433432,0.105916,
202305,0.018058,0.460184,0.071047,
202306,0.024721,0.441696,0.050508,
202307,0.002935,0.450436,0.052495,
202308,0.025877,0.409517,0.046488,
202309,0.017828,0.427764,0.054719,
202310,0.019027,0.462233,0.085255,
202311,0.006204,0.430204,0.132391,
202312,0.020261,0.425940,0.144931,
202401,0.012979,0.382371,0.175154,
202402,0.013828,0.432315,0.131859,
202403,0.009004,0.438949,0.122160,
202404,0.017312,0.446523,0.105872,
202405,0.020910,0.427166,0.078159,
202406,0.023719,0.400193,0.066756,
202407,0.008015,0.441352,0.058901,
202408,0.020218,0.398826,0.041044,
202409,0.020294,0.408945,0.067107,
202410,0.001373,0.452368,0.093642,
202411,0.001421,0.404788,0.135235,
202412,0.016033,0.413966,0.155790,
202501,0.014354,0.432018,0.174129,
202502,,0.357993,0.153906,
202503,,0.422915,0.126712,
202504,,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
