"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-164.560269,79.664206,-0.011946,,-0.026386,
1991,-164.555125,81.257797,-0.023891,,-0.052772,
1992,-164.417065,82.773811,-0.035837,,-0.079158,
1993,-164.365621,84.166821,-0.047782,,-0.105544,
1994,-164.314189,85.832466,-0.059728,,-0.131930,
1995,-164.245075,88.030499,-0.071673,,-0.158315,
1996,-164.301242,89.549510,-0.083619,,-0.184701,
1997,-164.267379,90.840555,-0.095564,,-0.211087,
1998,-163.246667,93.002101,-0.107510,,-0.237473,
1999,-162.981969,94.371268,-0.119456,,-0.263859,
2000,-162.909531,96.364480,-0.131401,,-0.290245,
2001,-162.741973,98.198558,-0.143310,0.001595,-0.316631,
2002,-162.578810,99.908242,-0.155149,0.000018,-0.343017,
2003,-162.395082,106.670198,-0.167101,0.000010,-0.369403,
2004,-163.209835,111.017636,-0.179040,0.000012,-0.395777,
2005,-162.082792,97.354337,-0.190986,0.000012,-0.422163,
2006,-161.930408,108.472812,-0.202937,,-0.448549,
2007,-162.074936,115.173419,-0.214883,,-0.474935,
2008,-161.599953,126.867034,-0.226829,0.145071,-0.501321,
2009,-160.849627,118.703059,-0.238710,,-0.527686,
2010,-161.273513,128.233144,-0.238710,,-0.527686,
2011,-161.128744,129.865353,-0.240301,0.154121,-0.527686,
2012,-160.397088,113.786694,-0.238710,,-0.527686,
2013,-160.252351,116.577885,-0.238710,,-0.527686,
2014,-160.694663,126.828229,-0.238710,0.153472,-0.527686,
2015,-159.963030,126.411290,-0.236755,,-0.527686,
2016,-159.756978,139.158323,-0.248096,,-0.527686,
2017,-160.260787,155.331752,-0.238710,,-0.527686,
2018,-159.529267,141.024673,-0.238710,,-0.527686,
2019,-159.971804,130.848986,-0.232846,-0.005865,-0.527686,
2020,-159.827241,147.600712,-0.230891,-0.007820,-0.527686,
2021,-159.095786,137.620590,-0.231905,-0.006842,-0.527686,
2022,-159.538348,148.365334,-0.238847,0.005269,-0.527686,
