"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-84.896063,-0.011946,,-0.026386,
1991,-83.297328,-0.023891,,-0.052772,
1992,-81.643254,-0.035837,,-0.079158,
1993,-80.198800,-0.047782,,-0.105544,
1994,-78.481723,-0.059728,,-0.131930,
1995,-76.214576,-0.071673,,-0.158315,
1996,-74.751732,-0.083619,,-0.184701,
1997,-73.426823,-0.095564,,-0.211087,
1998,-70.244566,-0.107510,,-0.237473,
1999,-68.610702,-0.119456,,-0.263859,
2000,-66.545051,-0.131401,,-0.290245,
2001,-64.543416,-0.143310,0.001595,-0.316631,
2002,-62.670568,-0.155149,0.000018,-0.343017,
2003,-55.724884,-0.167101,0.000010,-0.369403,
2004,-52.192198,-0.179040,0.000012,-0.395777,
2005,-64.728455,-0.190986,0.000012,-0.422163,
2006,-53.457596,-0.202937,,-0.448549,
2007,-46.901517,-0.214883,,-0.474935,
2008,-34.732918,-0.226829,0.145071,-0.501321,
2009,-42.146568,-0.238710,,-0.527686,
2010,-33.040369,-0.238710,,-0.527686,
2011,-31.263390,-0.240301,0.154121,-0.527686,
2012,-46.610394,-0.238710,,-0.527686,
2013,-43.674466,-0.238710,,-0.527686,
2014,-33.866434,-0.238710,0.153472,-0.527686,
2015,-33.551740,-0.236755,,-0.527686,
2016,-20.598655,-0.248096,,-0.527686,
2017,-4.929035,-0.238710,,-0.527686,
2018,-18.504594,-0.238710,,-0.527686,
2019,-29.122818,-0.232846,-0.005865,-0.527686,
2020,-12.226530,-0.230891,-0.007820,-0.527686,
2021,-21.475196,-0.231905,-0.006842,-0.527686,
2022,-11.173014,-0.238847,0.005269,-0.527686,
