"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.424235,,
1991,0.435838,,
1992,0.410054,,
1993,0.421688,,
1994,0.471935,,
1995,0.491272,,
1996,0.464231,,
1997,0.554474,,
1998,0.456464,,
1999,0.438415,,
2000,0.464231,,
2001,0.527400,,
2002,0.540292,,
2003,0.631856,,
2004,0.802059,,
2005,1.074139,,
2006,1.645371,,
2007,1.812996,,
2008,1.858510,,
2009,1.903993,,
2010,1.949475,,
2011,1.994958,,
2012,2.040472,,
2013,2.085985,,
2014,2.130885,,
2015,2.176950,,
2016,2.222464,,
2017,2.267947,,
2018,2.307570,,
2019,2.371888,,
2020,2.546815,,
2021,2.912437,,
2022,3.091165,,
