"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
2000,10.905104,3.984797,3.952714
2001,12.365290,4.467996,4.361213
2002,15.011032,5.160857,4.663369
2003,15.139422,5.790271,6.106724
2004,15.077135,5.974618,6.580786
2005,14.915933,4.940634,4.184139
2006,14.282774,4.259768,2.876737
2007,14.393533,3.582756,1.196373
2008,16.294035,4.477437,2.365373
2009,16.253958,4.002641,1.247413
2010,19.031438,5.116969,2.492555
2011,21.703579,5.213020,1.350012
2012,24.416328,5.723458,1.180297
2013,27.321324,8.070439,5.315796
2014,29.918571,8.928049,6.037932
2015,27.321324,8.070439,5.315796
2016,29.987501,9.463291,7.286016
2017,29.956437,9.453604,7.278748
2018,31.567999,10.232144,8.317692
2019,33.770274,11.090901,9.245505
2020,29.822284,9.395154,7.207509
2021,33.496776,10.693981,8.434214
2022,32.945016,10.672342,8.665804
