"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
2000,214.487945,0,0,0,0,0,-5.813445,0
2001,218.938703,0,0,0,0,0,-5.689044,0
2002,223.889630,0,0,0,0,0,-5.551084,0
2003,229.305978,0,0,0,0,0,-5.520394,0
2004,235.358699,0,0,0,0,0,-5.445678,0
2005,242.045139,0,0,0,0,0,-5.229841,0
2006,249.020512,0,0,0,0,0,-5.114067,0
2007,272.166469,0,0,0,0,0,-5.109121,0
2008,266.914187,0,0,0,0,0,-4.950102,0
2009,259.214344,0,0,0,0,0,-4.802023,0
2010,269.853233,0,0,0,0,0,-4.698673,0
2011,281.751301,0,0,0,0,0,-5.216151,0
2012,294.889277,0,0,0,0,0,-4.141330,0
2013,290.905352,0,0,0,0,0,-4.879391,0
2014,296.977035,0,0,0,0,0,-5.198007,0
2015,300.964760,0,0,0,0,0,-4.688114,0
2016,302.144299,0,0,0,0,0,-4.791093,0
2017,305.109052,0,0,0,0,0,-4.493587,0
2018,308.357455,0,0,0,0,0,-4.216152,0
2019,311.166924,0,0,0,0,0,-4.170799,0
2020,333.955481,-111.178860,0,0,-8.876494,0,-4.250363,0
2021,335.669439,-111.178868,0,0,-8.876494,0,-4.625254,0
2022,349.773770,-111.178860,0,0,-8.876494,0,-4.119507,0
