"Year","Nigeria","World"
1950,0.038153,2.372741
1951,0.035411,2.509281
1952,0.036611,2.496828
1953,0.043308,2.519009
1954,0.038628,2.522133
1955,0.044661,2.710743
1956,0.046073,2.829705
1957,0.046870,2.864250
1958,0.068249,2.886446
1959,0.076152,2.981084
1960,0.085929,3.109071
1961,0.171094,3.068418
1962,0.232487,3.117449
1963,0.249965,3.212604
1964,0.378893,3.313059
1965,0.801372,3.389338
1966,1.172396,3.482441
1967,0.865705,3.521091
1968,0.374713,3.638560
1969,1.382242,3.800910
1970,2.711115,4.031813
1971,3.753498,4.112250
1972,4.366137,4.219880
1973,4.809212,4.358162
1974,5.140813,4.257539
1975,3.957233,4.190445
1976,4.478607,4.342568
1977,4.379243,4.387958
1978,3.873466,4.445411
1979,4.557675,4.491730
1980,3.974284,4.385349
1981,2.722147,4.204303
1982,2.371707,4.095304
1983,2.230957,4.047822
1984,2.441470,4.114002
1985,2.551923,4.177916
1986,2.443450,4.164586
1987,2.192447,4.215461
1988,2.207705,4.303169
1989,2.730143,4.285587
1990,2.670691,4.275440
1991,2.849555,4.288762
1992,2.886207,4.101485
1993,2.787720,4.079975
1994,2.598320,4.061836
1995,2.559884,4.097368
1996,2.540340,4.164388
1997,2.476903,4.131378
1998,2.490544,4.059213
1999,2.245345,4.096031
2000,2.623958,4.148800
2001,2.591003,4.125716
2002,2.328244,4.162733
2003,2.692564,4.327484
2004,2.837849,4.421495
2005,2.753238,4.515645
2006,2.624320,4.611727
2007,2.485059,4.688505
2008,2.380516,4.708763
2009,2.215927,4.572416
2010,2.516438,4.774950
2011,2.451077,4.878259
2012,2.384008,4.887112
2013,2.138807,4.868795
2014,2.156890,4.830362
2015,2.130115,4.767311
2016,1.810659,4.713752
2017,1.857928,4.735624
2018,1.847767,4.780249
2019,1.878013,4.778430
2020,1.706012,4.479880
2021,1.551545,4.676995
2022,1.319672,4.676281
2023,1.316869,4.697341
2024,0,
