"Year","Guinea-Bissau","World"
1950,0.013485,2.372741
1951,0.006668,2.509281
1952,0.019855,2.496828
1953,0.013150,2.519009
1954,0.013071,2.522133
1955,0.019499,2.710743
1956,0.019398,2.829705
1957,0.019301,2.864250
1958,0.019206,2.886446
1959,0.025484,2.981084
1960,0.031699,3.109071
1961,0.050269,3.068418
1962,0.068266,3.117449
1963,0.079946,3.212604
1964,0.099282,3.313059
1965,0.114175,3.389338
1966,0.115629,3.482441
1967,0.083072,3.521091
1968,0.106754,3.638560
1969,0.099721,3.800910
1970,0.117662,4.031813
1971,0.123263,4.112250
1972,0.110667,4.219880
1973,0.182227,4.358162
1974,0.164522,4.257539
1975,0.172192,4.190445
1976,0.135894,4.342568
1977,0.137414,4.387958
1978,0.129156,4.445411
1979,0.133788,4.491730
1980,0.176268,4.385349
1981,0.169116,4.204303
1982,0.166423,4.095304
1983,0.163798,4.047822
1984,0.181916,4.114002
1985,0.191324,4.177916
1986,0.200411,4.164586
1987,0.209167,4.215461
1988,0.229223,4.303169
1989,0.240892,4.285587
1990,0.176886,4.275440
1991,0.176959,4.288762
1992,0.175516,4.101485
1993,0.173360,4.079975
1994,0.168132,4.061836
1995,0.163978,4.097368
1996,0.179891,4.164388
1997,0.173359,4.131378
1998,0.145437,4.059213
1999,0.160958,4.096031
2000,0.119072,4.148800
2001,0.119474,4.125716
2002,0.119694,4.162733
2003,0.147601,4.327484
2004,0.149606,4.421495
2005,0.154026,4.515645
2006,0.152873,4.611727
2007,0.159132,4.688505
2008,0.152622,4.708763
2009,0.153547,4.572416
2010,0.151963,4.774950
2011,0.150293,4.878259
2012,0.148536,4.887112
2013,0.144596,4.868795
2014,0.149224,4.830362
2015,0.155660,4.767311
2016,0.165769,4.713752
2017,0.161777,4.735624
2018,0.161791,4.780249
2019,0.163633,4.778430
2020,0.147227,4.479880
2021,0.147576,4.676995
2022,0.146824,4.676281
2023,0.138552,4.697341
