"Year","Commercial/institutional: Stationary combustion","Residential: Stationary combustion"
2010,0.127948,1.440283
2011,0.147335,1.489614
2012,0.155915,1.508805
2013,0.186636,1.516435
2014,0.202981,1.533383
2015,0.206246,1.560372
2016,0.238624,1.662696
2017,0.242672,1.696163
2018,0.273976,1.705208
2019,0.271929,1.560976
2020,0.266282,1.508395
2021,0.286730,1.515298
2022,0.308761,1.522234
