"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2010,-16.770239,12.018756,-26.044788,0,,
2011,-16.734402,10.466508,-25.989132,0,,
2012,-16.703100,12.229957,-25.940518,0,,
2013,-16.677429,10.697119,-25.900650,0,,
2014,-16.526036,11.769969,-25.665532,0,,
2015,-16.435171,12.414469,-25.524415,0,,
2016,-16.331799,11.672874,-25.363875,0,,
2017,-16.207064,12.116837,-25.170158,0,,
2018,-16.092920,12.714488,-24.992887,0,,
2019,-15.994405,11.740128,-24.839889,0,,
2020,-15.866584,11.407682,-24.641379,0,,
2021,-15.898808,10.437348,-24.691424,0,,
2022,-15.968485,11.145553,-24.799635,0,,
