"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
2010,-30.818685,3.600870,0,0,0,0,0,0
2011,-32.280503,3.132531,0,0,0,0,0,0
2012,-30.435797,2.568968,0,0,0,0,0,0
2013,-31.904163,15.150323,0,0,0,0,0,0
2014,-30.443739,9.368316,0,0,0,0,0,0
2015,-29.566620,7.831326,0,0,0,0,0,0
2016,-30.044651,11.783585,0,0,0,0,0,0
2017,-29.281681,12.003155,0,0,0,0,0,0
2018,-28.391967,10.539355,0,0,0,0,0,0
2019,-29.115341,11.417635,0,0,0,0,0,0
2020,-29.121460,12.515484,0,0,0,0,0,0
2021,-30.174829,10.027025,0,0,0,0,0,0
2022,-29.644127,7.099427,0,0,0,0,0,0
