"Year","Oil","Condensate","NGLs","Natural Gas","Territorial","Forecast Oil","Forecast Gas","Reserves Reserves","Reserves Resources in fields","Reserves Resources in discoveries","Reserves Undiscovered resources"
1970,0,0,0,0,27.978745,NaN,NaN,NaN,NaN,NaN,NaN
1971,0.802063,0,0,0,27.166199,NaN,NaN,NaN,NaN,NaN,NaN
1972,4.299948,0,0,0,29.395353,NaN,NaN,NaN,NaN,NaN,NaN
1973,4.166271,0,0,0,30.584000,NaN,NaN,NaN,NaN,NaN,NaN
1974,4.478185,0,0,0,27.760000,NaN,NaN,NaN,NaN,NaN,NaN
1975,24.507478,0,0,0,30.663000,NaN,NaN,NaN,NaN,NaN,NaN
1976,36.159669,0,0,0,33.381000,NaN,NaN,NaN,NaN,NaN,NaN
1977,37.073130,0,0,5.079645,33.341000,NaN,NaN,NaN,NaN,NaN,NaN
1978,45.984940,0.044559,0,27.303091,32.639000,NaN,NaN,NaN,NaN,NaN,NaN
1979,50.084372,0.089118,2.202888,39.423274,34.623000,NaN,NaN,NaN,NaN,NaN,NaN
1980,62.872820,0.111398,4.756679,47.883123,31.759000,NaN,NaN,NaN,NaN,NaN,NaN
1981,61.224135,0.111398,4.230325,47.210817,31.771000,NaN,NaN,NaN,NaN,NaN,NaN
1982,63.563485,0.089118,4.464260,44.932447,30.864000,NaN,NaN,NaN,NaN,NaN,NaN
1983,79.426507,0.089118,5.224549,43.270358,31.882000,NaN,NaN,NaN,NaN,NaN,NaN
1984,91.546569,0.133677,5.146570,47.864448,33.725000,NaN,NaN,NaN,NaN,NaN,NaN
1985,99.723154,0.178236,5.789892,47.640346,32.188000,NaN,NaN,NaN,NaN,NaN,NaN
1986,108.657244,0.133677,7.505415,48.835557,34.663000,NaN,NaN,NaN,NaN,NaN,NaN
1987,126.904175,0.111398,8.031769,53.037469,33.074000,NaN,NaN,NaN,NaN,NaN,NaN
1988,144.193087,0.111398,9.454873,53.373622,35.433000,NaN,NaN,NaN,NaN,NaN,NaN
1989,191.559357,0.111398,9.552346,54.307380,33.979000,NaN,NaN,NaN,NaN,NaN,NaN
1990,210.630630,0.111398,9.766787,48.536754,35.321326,NaN,NaN,NaN,NaN,NaN,NaN
1991,242.094184,0.133865,9.565743,48.123071,33.816457,NaN,NaN,NaN,NaN,NaN,NaN
1992,275.571076,0.111117,9.644988,49.523511,34.734748,NaN,NaN,NaN,NaN,NaN,NaN
1993,295.634477,1.053915,10.830662,48.101466,36.224201,NaN,NaN,NaN,NaN,NaN,NaN
1994,323.281184,5.304039,13.768402,52.406608,38.088992,NaN,NaN,NaN,NaN,NaN,NaN
1995,344.894334,6.995561,15.283540,54.794419,38.707503,NaN,NaN,NaN,NaN,NaN,NaN
1996,388.505567,8.367812,15.941457,73.249846,41.830308,NaN,NaN,NaN,NaN,NaN,NaN
1997,385.655618,11.794822,15.480705,83.672486,41.969975,NaN,NaN,NaN,NaN,NaN,NaN
1998,369.727716,11.065100,14.168258,89.131720,42.220229,NaN,NaN,NaN,NaN,NaN,NaN
1999,369.920226,12.082877,13.412322,92.349274,42.974025,NaN,NaN,NaN,NaN,NaN,NaN
2000,395.052702,11.796198,13.794029,89.835203,42.518551,NaN,NaN,NaN,NaN,NaN,NaN
