"Year","Denmark","World"
1950,0.220107,2.378734
1951,0.448871,2.515504
1952,0.450909,2.502896
1953,0.222854,2.524970
1954,0.188016,2.527923
1955,0.220727,2.716614
1956,0.384919,2.835461
1957,0.695995,2.869636
1958,0.660584,2.891376
1959,0.618053,2.985590
1960,0.615220,3.112931
1961,0.659898,3.071906
1962,0.671311,3.120741
1963,0.654837,3.215595
1964,0.567189,3.315825
1965,0.545864,3.391959
1966,0.504109,3.484865
1967,0.328552,3.523155
1968,0.190866,3.640223
1969,0.107502,3.802135
1970,0.024609,4.032588
1971,0,4.112597
1972,0.055160,4.219747
1973,0.082017,4.355556
1974,0.054419,4.253289
1975,0.081391,4.173319
1976,0.108553,4.310191
1977,0.269801,4.352449
1978,0.215174,4.432504
1979,0.214648,4.465701
1980,0.161231,4.364099
1981,0.402090,4.168842
1982,0.912069,4.060496
1983,1.154272,4.023942
1984,1.359398,4.068703
1985,2.063496,4.137420
1986,2.750800,4.122175
1987,3.466381,4.179654
1988,3.539951,4.262697
1989,4.230714,4.241189
1990,4.490306,4.266701
1991,5.360030,4.282473
1992,5.817503,4.090168
1993,6.236268,4.068620
1994,6.812595,4.047994
1995,6.962731,4.083544
1996,7.957810,4.148108
1997,9.043314,4.114970
1998,9.102966,4.044522
1999,10.720358,4.079117
2000,12.509261,4.133621
2001,12.142962,4.107635
2002,12.698524,4.144280
2003,12.417365,4.307030
2004,13.534701,4.399256
2005,13.611094,4.493561
2006,12.671371,4.585831
2007,11.308980,4.661509
2008,10.976783,4.682571
2009,9.719505,4.545518
2010,9.218466,4.744937
2011,7.969051,4.848876
2012,7.148564,4.854014
2013,6.109321,4.837742
2014,5.742072,4.804597
2015,5.480887,4.739116
2016,5.029560,4.682487
2017,5.025860,4.705259
2018,4.212247,4.752195
2019,3.521030,4.747814
2020,2.168913,4.457744
2021,2.052394,4.634748
2022,2.013711,4.678452
2023,1.833594,4.707772
2024,2.002828,4.729075
