"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,5.094339,1.369166,2.920593
1991,5.442920,1.465332,2.886758
1992,5.692212,1.467942,2.804021
1993,5.829733,1.497802,2.744899
1994,6.031629,1.553701,2.971673
1995,6.089821,1.544639,3.018492
1996,6.159241,1.565365,3.106195
1997,6.314733,1.585891,3.138900
1998,6.428376,1.619221,3.169743
1999,6.452310,1.667123,3.249493
2000,6.422945,1.709129,3.133297
2001,6.326320,1.767308,3.210450
2002,6.425945,1.778123,3.240544
2003,6.588991,1.845691,3.475249
2004,6.641316,1.971436,3.609924
2005,6.567963,2.078567,3.684268
2006,6.628718,2.275449,3.806978
2007,6.857174,2.476373,3.972972
2008,6.784246,2.450551,3.760199
2009,6.633888,2.258737,3.396790
2010,6.504339,2.183955,3.526198
2011,6.367592,1.988527,3.583608
2012,6.264317,1.846880,3.289208
2013,6.262668,1.748996,3.194399
2014,6.315690,1.671196,3.438988
2015,6.475856,1.689680,3.489720
2016,6.526402,1.679933,3.652946
2017,6.622136,1.695062,3.726400
2018,6.785345,1.712880,3.838616
2019,6.749078,1.633338,3.761287
2020,5.979891,1.519267,3.674355
2021,5.999528,1.560664,3.756350
2022,5.933828,1.653880,3.592842
2023,5.878681,1.655597,3.540456
2024,5.457128,1.668389,2.814508
