"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,0.047900,0.068500,0.005200
1962,,,,0.049900,0.097300,0.005700
1963,,,,0.071000,0.087800,0.005700
1964,,,,0.072400,0.119100,0.006600
1965,,,,0.076400,0.137300,0.005600
1966,,,,0.089700,0.176758,0.006400
1967,,,,0.109300,0.187200,0.008600
1968,,,,0.142400,0.190937,0.017400
1969,,,,0.202600,0.266351,0.026400
1970,,,,0.248000,0.248404,0.025500
1971,,,,0.230500,0.255114,0.028400
1972,,,,0.306300,0.323715,0.023700
1973,,,,0.383200,0.480297,0.021000
1974,,,,0.365200,0.302138,0.041400
1975,,,,0.340200,0.342459,0.060700
1976,,,,0.386200,0.433000,0.043700
1977,,,,0.344200,0.413800,0.039700
1978,,,,0.395200,0.420600,0.046000
1979,,,,0.430200,0.413300,0.062500
1980,,,,0.347200,0.330800,0.088500
1981,,,,0.336200,0.378800,0.130800
1982,,,,0.267200,0.398400,0.114000
1983,,,,0.270200,0.371400,0.090400
1984,,,,0.270200,0.435400,0.088500
1985,,,,0.323200,0.500800,0.063500
1986,,,,0.328200,0.600500,0.072100
1987,,,,0.322200,0.488100,0.099400
1988,,,,0.320200,0.506900,0.117700
1989,,,,0.325200,0.483800,0.105600
1990,0.306200,0.589200,0.105500,0.300200,0.553200,0.097500
1991,0.264200,0.556000,0.102200,0.258200,0.521000,0.090200
1992,0.287000,0.536718,0.110747,0.281000,0.511302,0.105373
1993,0.414000,0.476600,0.107959,0.406000,0.461600,0.104859
1994,0.432000,0.576000,0.126000,0.418000,0.558000,0.118000
1995,0.432000,0.570000,0.118000,0.418000,0.555000,0.112000
1996,0.432000,0.525100,0.124000,0.418000,0.512100,0.119000
1997,0.417000,0.724700,0.238800,0.415000,0.697300,0.233400
1998,0.405000,0.990000,0.199500,0.394000,0.925000,0.186000
1999,0.352000,1.036000,0.207000,0.340000,0.887000,0.185000
2000,0.448000,1.032000,0.144000,0.418000,0.992000,0.137000
2001,0.378000,1.088000,0.094018,0.378000,1.041000,0.089000
2002,0.350000,1.184198,0.108652,0.349000,1.113407,0.100705
2003,0.401000,1.298779,0.151792,0.401000,1.264521,0.146744
2004,0.360000,1.467745,0.172841,0.360000,1.443371,0.166875
2005,0.345000,1.490074,0.115850,0.345000,1.466543,0.109561
2006,0.350500,1.612722,0.169412,0.655000,1.673788,0.166226
2007,0.356000,1.916925,0.160117,0.355000,1.890060,0.156607
2008,0.446000,1.876119,0.224095,0.363000,1.151446,0.128470
2009,0.446000,1.009395,0.169400,0.363000,0.986440,0.133761
2010,0.435414,0.882935,0.158193,0.353160,0.852217,0.123761
2011,0.367000,1.027444,0.025690,0.376634,0.996164,0.142835
2012,0.340000,0.745524,0.037400,0.360632,0.726152,0.163871
2013,0.346000,0.749612,0.041520,0.351080,0.662106,0.125492
2014,0.367000,0.749612,0.051380,0.351080,0.662106,0.125492
2015,0.387000,0.749612,0.051380,0.348540,0.815829,0.156423
2016,0.387000,0.749612,0.051380,0.348540,0.877554,0.152432
2017,0.428300,0.877554,0.055679,0.348540,0.877554,0.152432
2018,0.428300,0.877554,0.055679,0.348540,0.738521,0.192813
2019,0.349000,,0.045370,0.348540,0.892728,0.216659
2020,0.348540,,0.059252,0.348540,0.932727,0.216659
2021,0.348540,,0.059252,0.348540,0.883187,0.216659
2022,0.498262,,0.077231,0.348540,0.839746,0.216659
2023,0.498262,,0.077231,0.348540,0.840206,0.216659
