"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,77.925477,52.906234,10.315889,7.965044,0.039010,6.699300
1991,87.890193,63.523451,10.591953,7.742719,0.062939,5.969132
1992,82.863570,57.737924,10.671484,7.480100,0.092417,6.881645
1993,83.970490,59.997931,10.954434,7.258168,0.201628,5.558330
1994,87.406123,64.090608,10.819350,7.160303,0.264975,5.070887
1995,84.716627,61.075742,10.893270,7.132478,0.346377,5.268760
1996,97.085840,74.310897,11.016916,6.765282,0.435912,4.556832
1997,88.044206,64.864248,10.916078,6.785636,0.445440,5.032804
1998,84.043391,60.676862,11.031133,6.810700,0.577069,4.947627
1999,81.684082,58.099140,10.902815,6.705924,0.717584,5.258620
2000,77.179262,53.757342,10.896437,6.675009,0.809223,5.041252
2001,78.271896,55.361133,11.148181,6.452123,0.778236,4.532222
2002,78.896877,55.027290,11.121308,6.347186,0.798106,5.602988
2003,83.667074,60.126330,11.124106,6.237222,0.818194,5.361222
2004,77.547175,54.586316,10.956849,5.969172,0.870281,5.164557
2005,73.024056,51.025349,10.715046,5.439378,0.916864,4.927419
2006,81.193489,58.995644,10.526911,5.348703,0.941671,5.380560
2007,76.699217,54.204865,10.490570,5.481887,0.979392,5.542503
2008,71.586270,50.747361,10.341698,5.483623,0.975671,4.037918
2009,68.202846,48.345784,10.179151,5.356993,1.003281,3.317636
2010,67.367260,48.688564,10.317432,5.216388,0.853211,2.291663
2011,61.444994,43.740776,10.119043,5.225316,0.816369,1.543490
2012,56.344638,39.362920,10.019478,5.123966,0.864560,0.973715
2013,57.678768,41.264708,9.907152,5.096837,0.817790,0.592280
2014,53.820024,37.089672,9.881441,5.185045,0.768376,0.895491
2015,50.137138,34.627776,9.791452,5.189047,0.584809,-0.055946
2016,53.039088,36.433325,9.879678,5.294291,0.603313,0.828481
2017,50.547923,34.182791,9.863902,5.321984,0.491921,0.687325
2018,52.197571,34.129903,9.929852,5.102377,0.551283,2.484157
2019,47.241379,30.467540,9.712141,5.192308,0.393954,1.475437
2020,44.387927,27.803059,9.736000,5.257375,0.364427,1.227068
2021,44.217527,29.023753,9.854790,4.897722,0.290451,0.150811
2022,42.075983,27.865349,9.542355,4.812014,0.274550,-0.418285
2023,38.509255,25.351781,8.948144,4.435514,0.274265,-0.500449
