"Year","Denmark","World"
1950,5.155583,2.378734
1951,5.100248,2.515504
1952,5.289077,2.502896
1953,5.300564,2.524970
1954,5.807853,2.527923
1955,6.100517,2.716614
1956,5.907156,2.835461
1957,5.547608,2.869636
1958,5.934715,2.891376
1959,5.725396,2.985590
1960,6.498862,3.112931
1961,6.877116,3.071906
1962,7.940786,3.120741
1963,8.684143,3.215595
1964,9.139948,3.315825
1965,9.309916,3.391959
1966,10.440604,3.484865
1967,10.140963,3.523155
1968,10.952156,3.640223
1969,12.132533,3.802135
1970,12.588200,4.032588
1971,11.485720,4.112597
1972,11.935932,4.219747
1973,11.788226,4.355556
1974,10.903117,4.253289
1975,11.009469,4.173319
1976,11.839003,4.310191
1977,12.138782,4.352449
1978,11.956169,4.432504
1979,12.294228,4.465701
1980,11.768272,4.364099
1981,10.098259,4.168842
1982,10.476793,4.060496
1983,9.796099,4.023942
1984,9.934672,4.068703
1985,11.729687,4.137420
1986,11.483204,4.122175
1987,11.360328,4.179654
1988,10.724725,4.262697
1989,9.485274,4.241189
1990,10.402006,4.266701
1991,12.437004,4.282473
1992,11.278749,4.090168
1993,11.674302,4.068620
1994,12.422381,4.047994
1995,11.780843,4.083544
1996,14.231177,4.148108
1997,12.381720,4.114970
1998,11.545112,4.044522
1999,11.021214,4.079117
2000,10.170422,4.133621
2001,10.430779,4.107635
2002,10.333855,4.144280
2003,11.250180,4.307030
2004,10.195024,4.399256
2005,9.509069,4.493561
2006,10.942734,4.585831
2007,10.017080,4.661509
2008,9.329911,4.682571
2009,8.844810,4.545518
2010,8.866422,4.744937
2011,7.940776,4.848876
2012,7.128371,4.854014
2013,7.437316,4.837742
2014,6.657115,4.804597
2015,6.177414,4.739116
2016,6.444704,4.682487
2017,6.012768,4.705259
2018,5.973422,4.752195
2019,5.322840,4.747814
2020,4.852873,4.457744
2021,5.054577,4.634748
2022,4.928815,4.678452
2023,4.847096,4.707772
2024,4.746061,4.729075
