"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2019,-5.517198,,,0,
2020,-5.517198,0,0,0,
2021,-5.517198,,,0,
2022,-5.517198,,,,
