"Year","Non-metallic minerals","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
2005,0.406921,0.292974,1.379130,0.075827
2006,0.416686,0.293706,1.412225,0.078345
2007,0.427938,0.285473,1.450355,0.084806
2008,0.433393,0.351968,1.468845,0.077713
2009,0.444661,0.317049,1.507033,0.064408
2010,0.454445,0.320901,1.540196,0.083814
2011,0.476617,0.311606,1.615340,0.100741
2012,0.491746,0.357743,1.666615,0.104747
2013,0.506940,0.393309,1.718106,0.116186
2014,0.522133,0.314896,1.769603,0.106175
2015,0.528668,0.310906,1.791749,0.106207
2016,0.603523,0.352008,2.045448,0.111723
2017,0.618612,0.352304,2.096589,0.108174
2018,0.633514,0.227623,2.147087,0.091060
2019,0.648141,0.225080,2.196670,0.098820
2020,0.678936,0.232460,2.245079,0.108607
2021,0.698257,0.231217,2.293393,0.104688
2022,0.725958,0.231598,2.350523,0.111558
2023,0.725451,0.232421,2.547979,0.094937
