"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2005,-5.646015,5.734297,,,2.075058,
2006,-5.551834,5.921807,,,2.249645,
2007,-5.457872,6.071336,,,2.424137,
2008,-5.363787,6.091037,,,2.598713,
2009,-5.269724,6.290753,,,2.773273,
2010,-5.175644,6.397903,,,2.947816,
2011,-5.075548,6.697504,,,3.065914,
2012,-4.975452,6.936603,,,3.184027,
2013,-4.875356,7.217749,,,3.302141,
2014,-4.775257,7.348119,,,3.420256,
2015,-4.675160,7.634123,,,3.538360,
2016,-4.575070,8.589130,,,3.656424,
2017,-4.474952,8.708984,,,3.774548,
2018,-4.374856,8.916681,,,3.892661,
2019,-4.274757,9.125378,,,4.010784,
2020,-4.174663,9.328421,,,4.128873,
2021,-4.074564,9.528590,,,4.072443,
2022,-3.974468,9.753156,,,4.015988,
2023,-3.874372,10.011915,,,3.959535,
