"YYYYMM","Diesel","Flaring"
201404,0,196.355614
201405,0,4.274610
201406,68.154112,4.587909
201407,0,4.215660
201408,0,5.623286
201409,0,19.307660
201410,0,0.390187
201411,0,2.391139
201412,95.331050,0.342141
201501,0,3.277027
201502,0,0.753713
201503,0,5.268351
201504,0,0.175566
201505,0,0.020821
201506,115.978463,0.890594
201507,0,0.045098
201508,0,1.154696
201509,0,14.236158
201510,0,1.549445
201511,0,4.040590
201512,61.871651,2.532592
201601,0,4.684126
201602,14.117890,0.581769
201603,7.058945,241.059456
201604,7.058945,0
201605,1.200021,5.675600
201606,0,1.867813
201607,0,0.707223
201608,0,1.224182
201609,1.305905,68.528995
201610,0,47.171298
201611,0,0.108150
201612,0.523068,0.499741
201701,0,0.474115
201702,0,0.388223
201703,0,0.742095
201704,0,0.548621
201705,1.129431,0
201706,0,0
201707,0,0.143262
201708,0,3.573783
201709,0,6.816166
201710,0,0.006393
201711,0,0.043932
201712,0,1.169674
201801,1.058842,0.013763
201802,0,0.570875
201803,0,0.461149
201804,0,1.103931
201805,0,49.362782
201806,0,3.279016
201807,0,0
201808,0,0.658511
201809,0,0.348410
201810,0,6.609511
201811,0,0
201812,0,0.008574
201901,0,0.289960
201902,0,0.665168
201903,0,0.125899
201904,0,0.056865
201905,7.058945,3.228456
201906,0,0.705240
201907,0,0.072916
201908,1.058842,3.105776
201909,4.676551,29.510707
201910,13.447290,4.308292
201911,18.741498,8.425348
201912,24.906075,14.715728
202001,22.380384,1.065215
202002,19.885048,0.023538
202003,18.208548,0
202004,12.804926,3.205457
202005,17.597949,8.112595
202006,15.709682,0.852090
202007,22.387443,4.236596
202008,20.255642,1.587586
202009,15.024964,4.707812
202010,16.517931,3.134701
202011,16.157925,4.132468
202012,16.937585,6.417468
202101,16.412541,9.776748
202102,19.234566,0
202103,17.521360,0.023057
202104,17.002527,2.703322
202105,15.657234,0.452859
202106,17.058999,0.039686
202107,19.324214,0
202108,16.033334,0.230104
202109,15.696623,0.353155
202110,18.911266,0.654806
202111,17.419005,0
202112,16.197808,0.120897
202201,17.717951,0.329816
202202,14.177891,0.967489
202203,24.551010,0.141280
202204,16.877937,0.326212
202205,16.641462,0.034848
202206,12.864927,0.006858
202207,10.756420,0.409210
202208,14.449660,0.000079
202209,13.184344,0.805513
202210,12.349624,0.097842
202211,1.845914,0.497959
202212,0,0.006875
202301,0,0.000079
202302,0,0
202303,0.952958,0.134125
202304,0,0
202305,0,0.100224
202306,0.014471,0
202307,1.676499,0.001150
202308,0,0.001742
202309,2.417689,4.354447
202310,0,0
202311,0,0
202312,0.441184,0.000947
202401,0,0
202402,0,0.000079
202403,1.129431,0.003664
202404,0,0.005704
202405,0,0
202406,0,0.002321
202407,0.014471,0.004792
202408,1.087783,17.950814
202409,1.164726,5.668143
202410,0,32.305147
202411,0,0
202412,0,0.000512
202501,0,0
202502,0,7.696640
202503,0,2.859971
