"YYYYMM","Diesel","Flaring"
201404,0,11.015550
201405,0,0.239806
201406,5.050220,0.257382
201407,0,0.236499
201408,0,0.315466
201409,0,1.083160
201410,0,0.021889
201411,0,0.134143
201412,7.064031,0.019194
201501,0,0.183841
201502,0,0.042283
201503,0,0.295555
201504,0,0.009849
201505,0,0.001168
201506,8.594004,0.049962
201507,0,0.002530
201508,0,0.064778
201509,0,0.798648
201510,0,0.086924
201511,0,0.226677
201512,4.584689,0.142078
201601,0,0.262779
201602,1.046136,0.032637
201603,0.523068,13.523435
201604,0.523068,0
201605,0.088922,0.318401
201606,0,0.104784
201607,0,0.039675
201608,0,0.068677
201609,0.096768,3.844477
201610,0,2.646310
201611,0,0.006067
201612,0.038759,0.028035
201701,0,0.026598
201702,0,0.021779
201703,0,0.041632
201704,0,0.030778
201705,0.083691,0
201706,0,0
201707,0,0.008037
201708,0,0.200489
201709,0,0.382387
201710,0,0.000359
201711,0,0.002465
201712,0,0.065619
201801,0.078460,0.000772
201802,0,0.032026
201803,0,0.025870
201804,0,0.061931
201805,0,2.769252
201806,0,0.183953
201807,0,0
201808,0,0.036942
201809,0,0.019546
201810,0,0.370794
201811,0,0
201812,0,0.000481
201901,0,0.016267
201902,0,0.037316
201903,0,0.007063
201904,0,0.003190
201905,0.523068,0.181116
201906,0,0.039564
201907,0,0.004091
201908,0.078460,0.174234
201909,0.346532,1.655551
201910,0.996444,0.241695
201911,1.388745,0.472662
201912,1.845540,0.825552
202001,1.658386,0.059759
202002,1.473482,0.001320
202003,1.349253,0
202004,0.948845,0.179826
202005,1.304008,0.455117
202006,1.164087,0.047802
202007,1.658910,0.237673
202008,1.500943,0.089064
202009,1.113350,0.264108
202010,1.223979,0.175857
202011,1.197302,0.231831
202012,1.255075,0.360020
202101,1.216169,0.548476
202102,1.425281,0
202103,1.298333,0.001294
202104,1.259887,0.151656
202105,1.160201,0.025405
202106,1.264072,0.002226
202107,1.431924,0
202108,1.188070,0.012909
202109,1.163120,0.019812
202110,1.401325,0.036735
202111,1.290748,0
202112,1.200258,0.006782
202201,1.312900,0.018503
202202,1.050582,0.054276
202203,1.819230,0.007926
202204,1.250655,0.018300
202205,1.233132,0.001955
202206,0.953291,0.000385
202207,0.797051,0.022957
202208,1.070720,0.000004
202209,0.976960,0.045189
202210,0.915107,0.005489
202211,0.136782,0.027936
202212,0,0.000386
202301,0,0.000004
202302,0,0
202303,0.070614,0.007524
202304,0,0
202305,0,0.005623
202306,0.001072,0
202307,0.124229,0.000065
202308,0,0.000098
202309,0.179151,0.244284
202310,0,0
202311,0,0
202312,0.032692,0.000053
202401,0,0
202402,0,0.000004
202403,0.083691,0.000206
202404,0,0.000320
202405,0,0
202406,0,0.000130
202407,0.001072,0.000269
202408,0.080605,1.007041
202409,0.086306,0.317983
202410,0,1.812319
202411,0,0
202412,0,0.000029
202501,0,0
202502,0,0.288342
