"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-3.780120,0.357676,-0.326031,0.144535,1.912154
1991,-3.888963,0.176909,-0.393984,0.150208,1.951199
1992,-3.355180,0.239250,-0.319995,0.154235,1.986581
1993,-3.845606,0.542422,-0.353721,0.155718,2.024315
1994,-3.527503,0.204861,-0.316478,0.157371,2.075331
1995,-3.331454,0.153908,-0.344598,0.158821,2.151535
1996,-3.301195,0.465522,-0.338761,0.158623,2.217953
1997,-4.183327,0.855297,-0.355398,0.155978,2.253432
1998,-3.707230,0.718231,-0.422627,0.154029,2.286679
1999,-3.691772,0.486228,-0.411372,0.153383,2.292371
2000,-3.069979,0.703120,-0.359761,0.154698,2.315804
2001,-3.304570,1.105419,-0.364027,0.154327,2.340309
2002,-3.110733,0.884523,-0.472579,0.153320,2.381922
2003,-3.581618,0.332278,-0.409739,0.148480,2.397378
2004,-4.393033,0.343799,-0.390742,0.145124,2.407224
2005,-4.086549,0.343620,-0.434912,0.142894,2.436498
2006,-5.231659,-0.141062,-0.138655,0.160065,2.439495
2007,-5.273555,-0.212423,-0.253815,0.155735,2.452019
2008,-7.664228,0.035450,0.208850,0.158312,2.462798
2009,-6.247338,-0.245238,-0.369845,0.143753,2.465412
2010,-5.796269,-0.443662,-0.497509,0.143570,2.488086
2011,-6.699135,-0.317916,-0.344063,0.147952,2.490326
2012,-6.173212,-0.352612,-0.314712,0.144502,2.498672
2013,-6.132150,-0.439453,-0.373057,0.140157,2.500325
2014,-5.793124,-0.534813,-0.532254,0.133555,2.512117
2015,-6.071679,-0.504868,-0.507649,0.131221,2.535848
2016,-5.577720,-0.571921,-0.656177,0.127239,2.557537
2017,-5.386049,-0.720379,-0.561366,0.141310,2.552499
2018,-5.373282,-0.597980,-0.531556,0.140511,2.550987
2019,-5.100048,-0.606241,-0.592718,0.134885,2.557153
2020,-4.739489,-0.743121,-0.707522,0.131513,2.554127
2021,-4.196029,-0.675267,-0.611543,0.131577,2.556784
2022,-4.180580,-0.773165,-0.733715,0.135437,2.564549
2023,-4.217763,-0.743331,-0.602206,0.138388,2.580175
2024,-3.808918,-0.823635,-0.699825,0.132499,2.345585
