"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-0.065656,-0.407020,0.108168,0.120815,0.171706,0.235078,0.232272,-0.580300,0.178108,-2.699782,-2.350242,3.903195,5.836525,5.442015,5.790151,4.161837,4.326853,4.525707,5.520399,5.311165,0.715963,0.811427
1991,-0.061599,-0.471405,0.302197,0.272639,0.335094,0.334717,0.327689,-0.584923,0.221702,-2.761985,-2.393118,5.010871,5.798758,5.499792,5.661375,3.947425,4.110554,4.376017,5.448784,5.124846,0.691139,0.788469
1992,-0.009456,-0.372327,0.349798,0.321205,0.395799,0.395490,0.384080,-0.600102,0.256190,-2.417022,-1.886332,5.162387,6.072204,5.646365,5.434912,3.779538,3.878146,4.157275,5.237324,4.942865,0.549442,0.647884
1993,-0.071501,-0.457191,0.121671,0.156485,0.224425,0.224018,0.181450,-0.776869,0.107644,-2.773418,-2.672381,5.634614,5.499730,5.045080,4.555690,3.325907,3.710571,3.991897,5.366381,4.962591,0.801270,0.899563
1994,-0.113070,-0.438600,0.048200,-0.017360,0.046256,0.045890,0.080421,-1.002007,0.138517,-2.459595,-2.217836,4.806769,5.789060,5.425984,5.093859,3.810955,3.794894,4.110256,5.340091,5.044365,0.947225,1.047102
1995,-0.054834,-0.430936,0.205218,0.181729,0.271226,0.271850,0.266779,-0.805491,0.435995,-1.865302,-1.426009,6.137236,6.618150,6.235485,5.626468,4.263298,4.611793,5.039228,6.351765,5.957630,1.923746,2.023888
1996,-0.004064,-0.386247,0.293006,0.308061,0.365971,0.373307,0.372741,-0.748332,0.492540,-1.747532,-1.220598,6.686334,6.292323,5.727365,5.589161,4.180281,4.175355,4.607141,5.959229,5.572925,1.669538,1.769063
1997,-0.030538,-0.452158,0.135986,0.229138,0.301415,0.305087,0.331738,-0.813733,0.362603,-2.507321,-2.457125,3.830474,5.098820,4.426100,4.421535,3.387814,3.558988,3.981122,5.367362,5.111408,1.043869,1.146693
1998,-0.161113,-0.620978,-0.214937,-0.136472,-0.077388,-0.089233,-0.079201,-1.153747,-0.005148,-2.354670,-2.050041,3.970857,5.397864,5.023241,4.499813,3.386046,3.409266,3.788538,5.168279,4.954629,1.089548,1.194030
1999,-0.121605,-0.375798,-0.245291,-0.151764,-0.112880,-0.126606,-0.118674,-1.106403,0.053211,-2.195477,-2.008317,3.793958,5.495639,5.070277,4.434228,3.383871,3.510336,3.935235,5.369495,5.075584,1.156867,1.261251
