"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,2.922400,0.632995,1.125872
1991,3.034329,0.697150,1.136892
1992,3.249942,0.710537,1.326099
1993,3.278216,0.646517,1.341399
1994,3.440936,0.653316,1.395418
1995,3.673814,0.638961,1.364296
1996,3.957254,0.834098,1.808331
1997,4.241117,0.886480,1.821068
1998,4.694907,1.165502,2.376348
1999,5.086223,1.302148,2.717749
2000,5.344008,1.662853,3.132571
2001,5.558785,1.766714,3.274307
2002,5.717549,1.835102,3.255432
2003,5.744975,1.926323,3.316004
2004,5.932857,2.162902,3.546600
2005,6.290046,2.287163,3.764096
2006,6.517747,2.495905,3.963059
2007,6.789594,2.711031,4.144043
2008,6.737293,2.429866,3.765506
2009,6.378958,2.224221,3.158153
2010,6.090060,1.959473,2.812097
2011,6.146212,1.792252,2.679341
2012,6.030770,1.685809,2.534177
2013,6.139799,1.695923,2.633955
2014,6.238362,1.766193,2.709228
2015,6.304512,1.961780,2.928385
2016,6.391618,1.921554,3.310345
2017,6.415015,1.875696,3.205435
2018,6.384840,1.924420,3.321508
2019,6.515653,1.837114,3.263994
2020,5.194790,1.767576,2.716294
2021,5.433713,1.921336,2.960021
2022,5.380079,2.386307,3.248716
2023,5.413205,2.408354,3.238084
