"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,61.998309,32.871062,16.534252,6.236639,0.035524,6.320832
1991,62.672000,33.791313,16.781542,6.021062,0.049662,6.028422
1992,62.578050,33.603871,17.002769,5.960450,0.063800,5.947161
1993,63.204204,33.813041,17.055648,6.113755,0.096561,6.125198
1994,64.361763,34.946349,16.996785,6.333664,0.135261,5.949704
1995,66.568484,35.951605,17.049320,6.597834,0.205451,6.764275
1996,68.635491,37.537941,17.326662,6.680987,0.299643,6.790258
1997,69.388814,38.867758,17.316585,6.574510,0.405874,6.224087
1998,71.708776,40.757538,17.586047,6.970122,0.310852,6.084217
1999,72.426523,42.487184,17.067265,6.769144,0.488161,5.614770
2000,75.175443,45.288594,16.423879,6.510239,0.706989,6.245742
2001,79.113451,47.632380,16.458967,6.092528,0.725272,8.204304
2002,76.532687,46.088327,16.370334,5.795597,0.724275,7.554154
2003,76.965785,45.676665,17.071561,5.726692,0.915616,7.575251
2004,75.161629,46.141154,15.995323,5.609538,0.941021,6.474592
2005,76.282866,48.048821,15.402441,5.500343,1.123733,6.207529
2006,73.634392,47.491091,15.218559,5.373405,1.105913,4.445424
2007,72.585916,47.525997,14.680178,5.233446,1.106315,4.039979
2008,70.953087,47.229972,14.352742,5.072973,1.133531,3.163869
2009,65.098601,42.051174,13.939991,4.936010,1.101976,3.069451
2010,65.848437,41.663358,13.725049,5.201709,1.066095,4.192225
2011,61.154775,37.928639,13.878002,4.812110,1.070801,3.465223
2012,61.103101,38.097146,14.138071,4.932681,1.043584,2.891619
2013,60.999175,37.157724,14.352530,5.279610,1.072187,3.137124
2014,60.887426,36.730110,14.922293,5.146372,1.134387,2.954263
2015,63.286595,38.580386,15.364501,5.202061,1.130570,3.009077
2016,65.296263,40.230196,15.814053,5.344780,1.204104,2.703130
2017,65.846398,38.890988,16.170643,5.643231,1.136843,4.004694
2018,64.500449,38.758733,16.028053,5.883424,0.831784,2.998455
2019,62.602784,37.047063,16.157378,5.685311,0.808249,2.904784
2020,60.768159,34.911631,16.314562,5.675679,0.647881,3.218407
2021,63.012026,37.324054,16.270269,5.854404,0.691362,2.871937
2022,61.374843,36.518003,16.270511,5.458783,0.658575,2.468971
2023,57.851834,33.382815,15.878462,5.018188,0.607406,2.964963
2024,56.339582,32.639245,15.495126,5.082760,0.608340,2.514111
