"Year","Ireland","World"
1950,3.339270,2.378734
1951,3.577499,2.515504
1952,3.270411,2.502896
1953,3.255455,2.524970
1954,3.118731,2.527923
1955,4.040219,2.716614
1956,3.787827,2.835461
1957,3.387294,2.869636
1958,3.138183,2.891376
1959,4.336468,2.985590
1960,3.949661,3.112931
1961,4.373077,3.071906
1962,4.628908,3.120741
1963,4.729875,3.215595
1964,4.975538,3.315825
1965,4.774347,3.391959
1966,5.225100,3.484865
1967,5.642845,3.523155
1968,6.089395,3.640223
1969,6.289000,3.802135
1970,6.547598,4.032588
1971,7.509282,4.112597
1972,7.255617,4.219747
1973,7.406985,4.355556
1974,7.436768,4.253289
1975,6.934137,4.173319
1976,6.904253,4.310191
1977,7.189424,4.352449
1978,7.081610,4.432504
1979,8.116359,4.465701
1980,7.693480,4.364099
1981,7.556630,4.168842
1982,7.356064,4.060496
1983,7.355032,4.023942
1984,7.266719,4.068703
1985,7.574083,4.137420
1986,8.060806,4.122175
1987,8.537594,4.179654
1988,8.477399,4.262697
1989,8.561806,4.241189
1990,9.375393,4.266701
1991,9.528208,4.282473
1992,9.413201,4.090168
1993,9.428411,4.068620
1994,9.704031,4.047994
1995,9.929762,4.083544
1996,10.298027,4.148108
1997,10.566950,4.114970
1998,10.969453,4.044522
1999,11.308557,4.079117
2000,11.899673,4.133621
2001,12.324086,4.107635
2002,11.730191,4.144280
2003,11.441199,4.307030
2004,11.354159,4.399256
2005,11.588376,4.493561
2006,11.150120,4.585831
2007,10.847400,4.661509
2008,10.557531,4.682571
2009,9.302906,4.545518
2010,9.166521,4.744937
2011,8.309541,4.848876
2012,8.309309,4.854014
2013,8.060808,4.837742
2014,7.910688,4.804597
2015,8.232962,4.739116
2016,8.492478,4.682487
2017,8.116077,4.705259
2018,7.988080,4.752195
2019,7.540266,4.747814
2020,7.034987,4.457744
2021,7.452368,4.634748
2022,7.177212,4.678452
2023,6.459559,4.707772
2024,6.338823,4.729075
