"Year","Ireland","World"
1950,1.095003,2.378734
1951,1.317650,2.515504
1952,1.330522,2.502896
1953,1.319634,2.524970
1954,1.021166,2.527923
1955,1.289568,2.716614
1956,1.312392,2.835461
1957,1.342314,2.869636
1958,0.926782,2.891376
1959,1.690102,2.985590
1960,1.249295,3.112931
1961,1.423842,3.071906
1962,1.620604,3.120741
1963,1.535050,3.215595
1964,1.626892,3.315825
1965,1.235474,3.391959
1966,1.434258,3.484865
1967,1.546762,3.523155
1968,1.949960,3.640223
1969,1.851288,3.802135
1970,1.876037,4.032588
1971,2.015159,4.112597
1972,1.866465,4.219747
1973,1.527300,4.355556
1974,1.598386,4.253289
1975,2.140679,4.173319
1976,1.703863,4.310191
1977,1.630567,4.352449
1978,1.248478,4.432504
1979,1.395566,4.465701
1980,1.739902,4.364099
1981,2.216821,4.168842
1982,2.583780,4.060496
1983,2.713969,4.023942
1984,3.127137,4.068703
1985,2.145408,4.137420
1986,2.208681,4.122175
1987,2.642907,4.179654
1988,2.365262,4.262697
1989,3.271258,4.241189
1990,2.806060,4.266701
1991,2.570869,4.282473
1992,2.344312,4.090168
1993,2.622176,4.068620
1994,2.698332,4.047994
1995,3.262292,4.083544
1996,2.657728,4.148108
1997,2.006400,4.114970
1998,1.734450,4.044522
1999,1.852927,4.079117
2000,1.567464,4.133621
2001,1.281066,4.107635
2002,0.996945,4.144280
2003,1.341835,4.307030
2004,1.240359,4.399256
2005,1.028061,4.493561
2006,0.931869,4.585831
2007,0.692045,4.661509
2008,0.748509,4.682571
2009,0.629980,4.545518
2010,0.967648,4.744937
2011,0.744478,4.848876
2012,0.356502,4.854014
2013,1.168351,4.837742
2014,0.876272,4.804597
2015,0.685237,4.739116
2016,1.760442,4.682487
2017,1.964437,4.705259
2018,1.937604,4.752195
2019,1.308017,4.747814
2020,0.862595,4.457744
2021,0.676939,4.634748
2022,0.526647,4.678452
2023,0.415667,4.707772
2024,0.385448,4.729075
