"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,29.775048,29.775048,30.383706,30.377179,30.371555,30.226692,30.190802,30.193960,30.154260,30.154035,30.154036,30.140276,30.140276,30.140295,30.140295,30.153514,30.149120,30.148396,30.148214,30.148214,30.148214,30.148214
1991,30.488581,30.488581,30.461615,31.304584,31.284879,31.136203,31.080218,31.083343,31.019689,31.018869,31.018870,31.005837,31.005837,31.005849,31.005849,31.019403,31.014139,31.013624,31.013437,31.013437,31.013437,31.013437
1992,31.055090,31.055090,31.079372,31.277512,31.251988,31.104591,31.065441,31.068593,30.971034,30.972413,30.972414,30.956364,30.956364,30.956380,30.956380,30.969231,30.964073,30.963644,30.963459,30.963459,30.963459,30.963459
1993,30.707925,30.707925,30.731499,31.460234,31.436911,31.269540,31.235602,31.238761,31.145086,31.143914,31.143915,31.128581,31.128581,31.128597,31.128597,31.141072,31.135817,31.135345,31.135135,31.135135,31.135135,31.135135
1994,31.876446,31.876446,31.903863,32.471951,32.444365,32.273958,32.220338,32.223464,32.116262,32.117352,32.117353,32.101239,32.101239,32.101248,32.101248,32.113164,32.107792,32.107297,32.107083,32.107083,32.107083,32.107083
1995,32.619755,32.619755,32.648985,33.347292,33.316680,33.138862,33.078005,33.081108,33.005585,33.006563,33.006563,32.990412,32.990412,32.990421,32.990421,33.000819,32.995892,32.995287,32.995060,32.995060,32.995060,32.995060
1996,33.851234,33.851234,33.883114,34.940726,34.909643,34.737537,34.706491,34.709592,34.549828,34.550358,34.550358,34.535306,34.535306,34.535333,34.535333,34.545779,34.540049,34.539267,34.539008,34.539008,34.539008,34.539008
1997,35.945710,35.945710,35.966574,36.085552,36.049586,35.894145,35.814757,35.817729,35.640575,35.642287,35.642288,35.623357,35.623357,35.623380,35.623380,35.634171,35.627639,35.626707,35.626434,35.626434,35.626434,35.626434
1998,37.894333,37.894333,37.879801,38.262598,38.227340,38.100784,38.037428,38.040340,37.783138,37.784721,37.784722,37.761248,37.761248,37.761286,37.761286,37.770415,37.764572,37.763938,37.763659,37.763659,37.763659,37.763659
1999,39.804062,39.804062,39.762913,39.916111,39.943187,39.843358,39.776665,39.779509,39.471206,39.471235,39.471236,39.451266,39.451266,39.451311,39.451311,39.460294,39.453539,39.452897,39.452597,39.452597,39.452597,39.452597
2000,41.406039,41.406039,41.376652,42.019950,41.985095,41.888635,41.781006,41.784022,41.756949,41.760443,41.760444,41.738415,41.738415,41.738452,41.738452,41.744448,41.739396,41.738762,41.738417,41.738417,41.738417,41.738417
2001,43.481854,43.481854,43.533241,44.171823,44.135324,44.028711,43.877663,43.880603,43.857305,43.854825,43.854826,43.827189,43.827189,43.827222,43.827222,43.831901,43.827537,43.826829,43.826469,43.826469,43.826469,43.826469
