"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,8.881922,1.018233,3.316356
1991,9.950681,1.047791,3.687944
1992,9.706296,1.093325,3.859258
1993,9.548412,1.110912,4.136678
1994,9.520286,1.153296,4.166444
1995,9.535719,1.173195,4.397487
1996,9.236254,1.210636,6.216067
1997,9.186862,1.232316,5.255691
1998,10.027156,1.267726,6.350507
1999,9.782437,1.305886,5.934692
2000,9.971803,1.332349,6.623038
2001,10.656660,1.357781,7.248253
2002,12.201498,1.396583,7.785890
2003,13.320057,1.424250,8.380268
2004,13.767830,1.441464,8.422050
2005,14.055350,1.426727,8.489189
2006,13.792003,1.390458,7.416177
2007,14.142212,1.406189,7.244961
2008,13.327507,1.359009,6.668622
2009,13.221020,1.320023,6.191092
2010,13.271103,1.338541,6.901841
2011,13.107122,1.356212,6.303095
2012,12.887963,1.347196,6.457240
2013,12.842080,1.366353,7.507450
2014,12.909687,1.386400,6.815200
2015,13.372299,1.412842,6.732870
2016,13.907342,1.473117,6.972597
2017,14.215556,1.517422,7.251192
2018,14.256954,1.528840,7.353462
2019,13.992853,1.574100,7.648693
2020,11.263587,1.587012,7.269886
2021,11.771792,1.709687,7.510572
2022,12.026696,1.735367,6.269374
2023,12.483476,1.698099,5.063375
