"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,4.570849,,,,,
1961,4.640393,4.919000,,0.030200,,3.099700
1962,4.557961,4.814000,,0.022300,,2.983700
1963,3.974103,4.377000,,0.024900,,2.900300
1964,4.343339,4.758500,,0.034100,,2.801400
1965,4.151570,4.584000,,0.043600,,2.891200
1966,4.608622,4.945000,,0.047000,,2.806500
1967,4.451466,4.878000,,0.057200,,2.687400
1968,4.314885,4.830000,,0.055500,,3.214200
1969,4.751379,5.268000,,0.061800,,3.702200
1970,4.494522,5.376000,,0.079000,,3.421700
1971,4.850623,5.588000,,0.100500,,3.181400
1972,4.833756,5.517000,,0.159100,,3.318300
1973,4.600554,5.765000,,0.178600,,3.436500
1974,4.291636,5.694000,,0.218400,,3.108200
1975,4.080817,5.002000,,0.205200,,2.969000
1976,4.983932,5.987000,,0.270600,,3.909600
1977,5.228512,6.286000,,0.309800,,3.839400
1978,4.916759,5.972000,,0.371200,,3.853300
1979,5.191519,6.545000,,0.470600,,4.368200
1980,5.162283,6.736000,,0.582500,,4.384200
1981,5.127556,6.426000,,0.640000,,3.881900
1982,4.661357,5.958000,,0.648400,,3.618700
1983,4.980607,6.269000,,0.781700,,4.267600
1984,5.126758,6.315000,,0.850300,,4.060100
1985,4.430605,6.001000,,0.641300,,3.682400
1986,4.376969,5.818000,,0.751900,,3.633400
1987,4.221504,5.944000,,0.760300,,3.807100
1988,4.812882,6.478000,,0.692200,,3.991000
1989,5.415680,6.920000,,0.688200,,4.359500
1990,5.615705,7.508900,,0.685000,,4.179000
1991,4.826955,7.238900,,0.725000,,4.063000
1992,4.655112,7.020000,,0.762000,,3.961000
1993,4.555523,6.786000,,0.803000,,3.942000
1994,5.266318,7.572000,,0.998000,,4.557000
1995,5.377673,7.804000,,1.029000,,4.694000
1996,5.866057,8.200000,,1.065000,,4.160000
1997,5.724410,8.450000,,1.096000,,4.953000
1998,5.793968,8.737000,,1.040000,,4.862000
1999,5.620759,9.628000,,1.623000,,5.895000
2000,5.496399,10.390000,,1.663000,,6.356000
2001,5.751680,10.227000,,1.320000,,6.084000
2002,6.251856,10.415000,,1.351000,,6.422000
2003,6.632695,10.473000,,1.443000,,6.772000
2004,6.420993,11.133000,,1.489000,,7.396000
2005,6.430551,11.074000,,1.500000,,7.281000
2006,6.315069,10.507000,,1.881000,,6.889000
2007,7.586538,11.816000,,1.707000,,7.842000
2008,7.331267,10.835000,,1.638000,,7.196400
2009,4.963695,8.458000,,1.776070,,5.798760
2010,5.811867,9.603000,,1.797342,,6.123364
2011,6.064727,9.636000,,1.942036,,5.728026
2012,5.561243,8.952000,,1.932554,,5.174130
2013,4.997590,8.534000,,1.911498,,5.055618
2014,5.161458,8.460000,,1.775480,,5.022940
2015,5.232621,8.731000,,1.810412,,5.202153
2016,5.188675,9.410000,,2.000763,,5.460941
2017,5.647474,9.849000,,1.957130,,5.614047
2018,5.841881,10.386000,,2.087521,,6.101156
2019,5.644690,10.450000,,1.981576,,6.224547
2020,4.906194,10.475000,,1.941853,,6.079892
2021,5.733763,10.764000,,2.088125,,6.119574
2022,6.112006,10.369157,,2.001004,,5.892639
2023,5.396221,9.371833,,1.494238,,5.492313
