"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-36.588349,25.561731,-0.256430,-1.186429,-1.326096,
1991,-35.018246,18.719583,-0.258219,-1.229602,-2.350330,
1992,-32.826073,20.001010,-0.259362,-1.272775,-0.491839,
1993,-32.611136,19.935466,-0.259936,-1.315948,-2.952874,
1994,-34.886622,23.271134,-0.261277,-1.262746,-0.601425,
1995,-34.905791,20.986340,-0.644205,-1.192217,-2.917028,
1996,-31.968572,22.707456,-0.645963,-1.121689,-3.793773,
1997,-40.526009,22.311173,-0.645949,-1.051161,-2.527936,
1998,-38.643289,21.268880,-0.646946,-0.980633,-1.816910,
1999,-40.707169,21.334626,-0.649397,-0.955972,-1.807985,
2000,-36.884741,20.102506,-0.650965,-0.931311,-0.536692,
2001,-39.023508,20.404931,-0.652210,-0.906650,-4.207387,
2002,-36.907143,24.674086,-0.929857,-0.881680,-1.199451,
2003,-31.912643,28.159455,-0.930559,-0.856711,-4.198430,
2004,-35.519112,27.306842,-0.931255,-0.847674,-5.361086,
2005,-36.318181,27.288190,-0.931765,-0.838638,-3.966473,
2006,-34.744064,31.629007,-0.931645,-0.829602,-2.798574,
2007,-37.763201,34.994732,-0.931880,-0.820566,-1.390823,
2008,-38.372042,35.867729,-0.931712,-0.811529,-3.848964,
2009,-36.215164,28.071105,-0.389390,-0.783111,-2.077419,
2010,-34.724442,29.771798,-0.388759,-0.756363,-6.189538,
2011,-36.988653,31.434941,-0.389345,-0.729615,-4.652458,
2012,-37.709054,30.429696,-0.388524,-0.702867,-1.691463,
2013,-31.549024,29.352681,-0.389174,-0.676120,-3.575036,
2014,-37.570604,29.005547,-0.389125,-0.649372,-1.787940,
2015,-31.432297,30.118890,-0.390226,-0.639950,-3.442727,
2016,-35.865290,28.799882,-0.389686,-0.630528,-1.894138,
2017,-33.148937,30.331735,-0.390735,-0.621105,-1.887925,
2018,-31.250993,32.921812,-0.390485,-0.611683,0.136237,
2019,-29.291529,36.249420,-0.983605,-0.602261,-0.925720,
2020,-33.012547,32.340806,-0.984725,-0.592839,-1.631802,
2021,-34.608952,35.247944,-0.985996,-0.583416,-3.644495,
2022,-37.057295,37.246306,-0.987035,-0.574303,0.038455,
2023,-33.545495,36.640712,-0.987705,-0.565189,3.592769,
