"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,60.112521,60.899238,61.262621,61.933388,61.930337,62.084935,62.081531,62.068126,62.068063,62.059587,62.059587,62.017746,62.216936,62.297166,62.292974,62.292229,62.322641,62.124701,62.140063,62.145248,62.167160,62.183904,62.191448,62.247001
1991,63.594995,64.535418,64.752084,65.485824,65.483301,65.674439,65.671094,65.656015,65.655952,65.643841,65.643841,65.602052,65.803107,65.903513,65.900423,65.899678,65.931473,65.725533,65.738192,65.743938,65.765656,65.782394,65.790087,65.869684
1992,58.454530,59.080064,59.348141,60.043907,60.041637,60.228805,60.226242,60.211553,60.211553,60.138325,60.138325,60.100206,60.311474,60.432249,60.432205,60.431459,60.441603,60.204069,60.236456,60.243908,60.266150,60.282904,60.291069,60.171397
1993,59.306962,59.309745,59.899644,60.415317,60.411339,60.544143,60.542845,60.527940,60.527942,60.516130,60.516130,60.482168,60.699969,60.790758,60.788485,60.787739,60.806132,60.635419,60.660781,60.670570,60.692128,60.708862,60.710529,60.739580
1994,59.743525,59.703639,60.203243,60.766349,60.763267,60.930396,60.929628,60.914874,60.914903,60.899752,60.899752,60.877085,61.099473,61.189103,61.191092,61.190347,61.199346,61.002439,61.034437,61.045756,61.066643,61.083354,61.080121,60.825728
1995,62.626789,62.474382,63.115451,63.664355,63.660939,63.965216,63.965304,63.951184,63.951173,63.943970,63.943970,63.924040,64.147441,64.202159,64.206696,64.205950,64.268216,64.065260,64.011231,64.023072,64.044059,64.060755,64.063033,63.797779
1996,66.628593,66.147039,66.562461,67.330661,67.327213,67.406758,67.407082,67.393604,67.393557,67.383733,67.383733,67.365295,67.590958,67.667263,67.674013,67.673887,67.693639,67.421589,67.355343,67.367013,67.388555,67.405241,67.410312,67.195836
1997,66.208334,65.713415,66.527299,67.155393,67.147962,67.198472,67.200321,67.187802,67.187787,67.180021,67.180021,67.162490,67.396046,67.455893,67.454131,67.453011,67.463628,67.232779,67.252097,67.263597,67.285126,67.301823,67.304886,67.030262
1998,66.333396,65.808073,66.217810,66.837285,66.811892,66.773238,66.774877,66.762961,66.771864,66.763008,66.763008,66.743984,66.975996,67.047251,67.054864,67.054364,67.066653,66.875147,66.886986,66.898315,66.920030,66.936726,66.936902,66.661520
1999,65.020416,64.336196,64.614137,65.444116,65.336623,65.540511,65.553995,65.352555,65.349390,65.344856,65.344856,65.343173,65.580306,65.660134,65.702170,65.621005,65.737031,65.562722,65.639881,65.651039,65.671311,65.667804,65.667700,65.382874
2000,64.927810,65.064055,65.454120,66.185958,65.960128,65.928375,65.951255,65.799045,65.984308,65.972214,65.969684,65.992859,66.229095,66.274743,66.345612,66.261743,66.312842,66.162888,66.138790,66.149780,66.171720,66.177102,66.204024,65.933580
2001,69.120036,69.037120,69.279637,70.179019,70.044563,70.200003,70.056028,70.190981,70.009351,70.004858,69.999366,70.029312,70.266404,70.299471,70.456721,70.390857,70.274685,70.102600,70.138688,70.149508,70.171319,70.165582,70.190727,69.950945
2002,,69.671286,70.994466,71.943212,71.709424,72.115083,72.014919,72.040456,71.890393,71.720084,71.713991,71.747626,72.122215,72.126591,72.198848,72.146538,72.124006,71.918762,71.942960,71.953612,71.974937,71.969395,71.988380,71.744378
2003,,,76.213257,77.561828,77.972458,78.271387,78.055043,77.840318,77.773390,77.758242,77.758246,77.800992,78.037219,78.023954,77.861165,77.764249,77.799097,77.554252,77.450503,77.460983,77.401893,77.396065,77.411928,77.130991
2004,,,,77.103435,77.139931,77.529027,77.590772,77.723117,77.687842,78.215898,78.215898,78.229223,78.417794,78.388997,78.164641,78.052546,77.920834,77.674391,77.667970,77.678295,77.699208,77.693557,77.715921,77.433068
2005,,,,,79.650362,79.515422,79.008750,79.772951,79.719284,79.723891,79.723672,79.392937,79.596319,79.588502,79.369255,79.366680,79.394850,79.192432,79.067961,79.078106,79.097399,79.091841,79.095480,78.833864
2006,,,,,,77.282751,77.586139,76.687061,77.084245,77.032526,77.032507,76.633083,76.968457,76.934952,76.683543,76.688465,77.061035,76.898329,76.796491,76.806465,76.817414,76.811652,76.796201,76.530595
2007,,,,,,,74.176537,73.972287,74.377304,74.362722,74.274618,73.980072,74.270643,74.268111,74.028286,74.032117,74.468960,74.262588,74.096973,74.106780,74.117796,74.112260,74.092161,73.864055
2008,,,,,,,,73.629587,73.929191,73.921535,73.921740,73.804484,74.039947,74.066256,73.805190,73.806271,73.727000,73.588405,73.472267,73.481909,73.495466,73.489915,73.466474,73.280275
2009,,,,,,,,,67.535829,67.225695,67.396947,67.567756,67.849613,67.682725,67.645522,67.483060,67.723782,67.493948,67.290760,67.298655,67.315330,67.306605,67.301761,67.128164
2010,,,,,,,,,,72.290471,72.590804,72.366115,72.690777,72.531826,72.547417,72.383144,72.228293,72.011841,72.000290,72.006411,72.017323,72.008308,72.000250,71.860169
2011,,,,,,,,,,,70.455489,70.353698,70.581597,70.327167,70.286767,70.115670,70.142560,69.898241,69.888739,69.893113,69.909258,69.901455,69.891706,69.818717
2012,,,,,,,,,,,,67.733469,67.843266,67.698659,67.721099,67.661400,67.577134,67.209096,67.263274,67.265910,67.282920,67.274365,67.260345,67.116119
2013,,,,,,,,,,,,,67.767980,67.957121,67.956087,68.001230,68.161180,67.745690,67.758606,67.759445,67.776042,67.766779,67.758867,67.661296
2014,,,,,,,,,,,,,,64.262564,64.204366,64.253326,64.467368,64.084427,64.160937,64.160000,64.175900,64.165827,64.158739,63.974841
2015,,,,,,,,,,,,,,,66.724167,66.703988,66.732862,66.283237,66.351619,66.348823,66.365641,66.357461,66.357784,66.163664
2016,,,,,,,,,,,,,,,,67.402083,67.314878,67.112265,67.215457,67.210743,67.226575,67.217282,67.218738,67.012986
2017,,,,,,,,,,,,,,,,,69.978847,69.628860,69.598854,69.592825,69.608667,69.598480,69.601478,69.422413
2018,,,,,,,,,,,,,,,,,,66.719678,66.565408,66.557180,66.571892,66.561692,66.566514,66.482756
2019,,,,,,,,,,,,,,,,,,,67.962416,67.936185,67.956158,67.945995,67.951235,67.792589
2020,,,,,,,,,,,,,,,,,,,,62.037447,62.121251,62.175724,62.179827,61.995894
2021,,,,,,,,,,,,,,,,,,,,,66.018632,65.757468,65.751345,65.530524
2022,,,,,,,,,,,,,,,,,,,,,,61.489111,61.454138,61.214061
2023,,,,,,,,,,,,,,,,,,,,,,,56.908955,56.647348
2024,,,,,,,,,,,,,,,,,,,,,,,,54.826409
