"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,65.947423,62.247001,11.771630,4.099799,1.550034,-13.721040
1991,64.327432,65.869684,11.655719,4.128579,1.708091,-19.034640
1992,63.141544,60.171397,11.347345,3.934280,1.140043,-13.451521
1993,61.509513,60.739580,11.395143,3.939652,1.038918,-15.603780
1994,63.993477,60.825728,11.066562,3.890311,1.256752,-13.045875
1995,61.934609,63.797779,10.976702,3.977069,1.543465,-18.360406
1996,68.631698,67.195836,10.627809,4.024005,1.686973,-14.902925
1997,60.823776,67.030262,10.289477,4.066382,1.713598,-22.275944
1998,61.828658,66.661520,10.097131,4.141310,1.522920,-20.594223
1999,58.942895,65.382874,9.900221,4.147944,1.443193,-21.931336
2000,63.096370,65.933580,9.667497,4.146357,1.371687,-18.022752
2001,60.655933,69.950945,9.472007,4.028123,1.590866,-24.386008
2002,70.955463,71.744378,9.329303,4.028310,1.700670,-15.847199
2003,81.217327,77.130991,9.253869,4.022997,1.732158,-10.922688
2004,76.165852,77.433068,9.250898,3.487602,1.768388,-15.774104
2005,77.899279,78.833864,8.981207,3.486366,1.787521,-15.189679
2006,82.204015,76.530595,8.850707,3.496123,1.770351,-8.443761
2007,79.920435,73.864055,8.740882,3.449792,1.834876,-7.969170
2008,77.591317,73.280275,8.596170,3.599145,1.873400,-9.757673
2009,71.287465,67.128164,8.493064,3.397441,1.733950,-9.465154
2010,73.645719,71.860169,8.379922,3.216634,1.882743,-11.693748
2011,72.224172,69.818717,8.146366,3.303740,1.945437,-10.990088
2012,71.267852,67.116119,8.010757,3.273448,1.983591,-9.116064
2013,75.847980,67.661296,7.889859,3.256854,2.018542,-4.978570
2014,67.339553,63.974841,7.728731,3.367816,2.049458,-9.781293
2015,75.276485,66.163664,7.644352,3.435276,2.073004,-4.039811
2016,72.228158,67.012986,7.575916,3.563203,2.154075,-8.078023
2017,78.278836,69.422413,7.538615,3.545186,2.197201,-4.424579
2018,81.472186,66.482756,7.326431,3.557069,2.288519,1.817411
2019,86.319720,67.792589,7.197993,3.582484,2.245510,5.501143
2020,73.386273,61.995894,7.108178,3.507489,2.183751,-1.409039
2021,74.260045,65.530524,7.133745,3.524707,1.942029,-3.870960
2022,72.753105,61.214061,7.052780,3.362694,1.877048,-0.753477
2023,75.371704,56.647348,6.992700,3.258433,1.775579,6.697643
2024,70.042111,54.826409,6.894433,3.253589,1.663400,3.404280
