"Year","Austria","World"
1950,1.511269,2.378734
1951,1.864413,2.515504
1952,2.097519,2.502896
1953,2.361740,2.524970
1954,2.573886,2.527923
1955,2.758553,2.716614
1956,2.665494,2.835461
1957,2.582427,2.869636
1958,2.388516,2.891376
1959,2.269042,2.985590
1960,2.317140,3.112931
1961,2.241830,3.071906
1962,2.271807,3.120741
1963,2.417905,3.215595
1964,2.398597,3.315825
1965,2.396671,3.391959
1966,2.353183,3.484865
1967,2.191828,3.523155
1968,2.092819,3.640223
1969,2.012656,3.802135
1970,2.096213,4.032588
1971,1.992295,4.112597
1972,1.975778,4.219747
1973,2.037760,4.355556
1974,1.893055,4.253289
1975,1.815669,4.173319
1976,1.698488,4.310191
1977,1.691601,4.352449
1978,1.702073,4.432504
1979,1.608388,4.465701
1980,1.397737,4.364099
1981,1.264444,4.168842
1982,1.249947,4.060496
1983,1.179403,4.023942
1984,1.167285,4.068703
1985,1.122493,4.137420
1986,1.075921,4.122175
1987,1.057294,4.179654
1988,1.038368,4.262697
1989,1.035515,4.241189
1990,1.098028,4.266701
1991,1.097031,4.282473
1992,1.036451,4.090168
1993,1.021171,4.068620
1994,0.925725,4.047994
1995,0.922201,4.083544
1996,0.874347,4.148108
1997,0.853702,4.114970
1998,0.895713,4.044522
1999,0.940596,4.079117
2000,0.970680,4.133621
2001,0.921938,4.107635
2002,0.981327,4.144280
2003,0.953950,4.307030
2004,0.848116,4.399256
2005,0.696590,4.493561
2006,0.739019,4.585831
2007,0.737381,4.661509
2008,0.680284,4.682571
2009,0.738843,4.545518
2010,0.739065,4.744937
2011,0.658056,4.848876
2012,0.715718,4.854014
2013,0.617450,4.837742
2014,0.618801,4.804597
2015,0.565836,4.739116
2016,0.515918,4.682487
2017,0.511629,4.705259
2018,0.446249,4.752195
2019,0.409015,4.747814
2020,0.343441,4.457744
2021,0.325406,4.634748
2022,0.295855,4.678452
2023,0.265480,4.707772
2024,0.260636,4.729075
