"Year","Electricity generation","Pulp, paper and print","Manufacturing industries and construction: Other","Residential: Stationary combustion","All others"
1990,0.307981,2.281662,0.380128,6.540240,1.018976
1991,0.439012,2.329627,0.394464,7.284032,1.075648
1992,0.517501,2.436568,0.346080,6.887776,1.071840
1993,0.545254,2.897661,0.331184,7.031920,1.006239
1994,0.578997,3.074914,0.306768,6.514256,0.902016
1995,0.651787,3.171544,0.251328,7.033824,0.955780
1996,0.929988,2.802114,0.393568,7.720944,1.087974
1997,0.938537,2.700563,0.421259,7.211680,1.137007
1998,1.006797,2.749948,0.283136,7.043680,1.022604
1999,0.969845,3.126649,1.019542,7.174832,1.549045
2000,1.137250,2.766753,0.921311,6.727504,1.447044
2001,1.476928,3.169328,0.935068,7.144256,1.183748
2002,1.719857,2.713730,0.919233,6.690208,1.121413
2003,1.857914,2.840619,1.079393,6.620432,1.263299
2004,2.140098,2.897440,1.127830,6.371344,1.322067
2005,2.544044,3.595414,1.920025,6.592811,1.599058
2006,3.588517,3.627135,2.037837,6.936643,2.113504
2007,4.393252,3.651549,2.555812,7.086210,2.257858
2008,5.173201,3.494619,2.350201,7.245447,2.671858
2009,5.653321,3.316495,2.625438,7.486727,2.769844
2010,6.643190,3.509544,2.615902,8.442003,3.054448
2011,6.725567,3.514999,2.715151,8.031636,2.905898
2012,7.149580,3.660013,3.029761,8.490447,3.015876
2013,7.035576,3.688182,2.799619,8.700850,3.064348
2014,6.907265,3.583969,2.801873,7.635727,2.898753
2015,7.295641,3.450396,2.913598,8.126059,3.078569
2016,7.133018,3.557154,2.491048,8.351021,2.991187
2017,7.392818,3.547032,2.446155,8.383280,3.086741
2018,7.106192,3.609293,2.178572,7.722684,3.135559
2019,6.848772,3.809945,1.997364,7.891571,3.094138
2020,7.219512,3.627279,2.122155,7.927371,2.887734
2021,7.349908,3.495639,2.292927,9.519737,3.173734
2022,7.308200,3.858422,2.403441,8.787830,3.033483
2023,7.130606,4.137994,2.236807,9.735025,3.313599
2024,6.999340,4.564301,2.294378,9.306375,3.297275
