"Year","Austria","World"
1950,3.019620,2.378734
1951,3.365253,2.515504
1952,3.192858,2.502896
1953,3.138814,2.524970
1954,3.536418,2.527923
1955,4.190548,2.716614
1956,4.062747,2.835461
1957,4.195158,2.869636
1958,4.025446,2.891376
1959,3.984244,2.985590
1960,4.374001,3.112931
1961,4.496250,3.071906
1962,4.756094,3.120741
1963,5.156002,3.215595
1964,5.390897,3.315825
1965,5.252041,3.391959
1966,5.360287,3.484865
1967,5.416799,3.523155
1968,5.709005,3.640223
1969,6.004493,3.802135
1970,6.786745,4.032588
1971,6.947281,4.112597
1972,7.437195,4.219747
1973,7.916151,4.355556
1974,7.545036,4.253289
1975,7.157609,4.173319
1976,7.697769,4.310191
1977,7.402298,4.352449
1978,7.571343,4.432504
1979,8.127213,4.465701
1980,6.896058,4.364099
1981,7.381803,4.168842
1982,7.077474,4.060496
1983,6.837248,4.023942
1984,7.174854,4.068703
1985,7.192059,4.137420
1986,7.102968,4.122175
1987,7.579153,4.179654
1988,6.982265,4.262697
1989,7.049245,4.241189
1990,8.098241,4.266701
1991,8.481230,4.282473
1992,7.687528,4.090168
1993,7.677593,4.068620
1994,7.694498,4.047994
1995,8.057917,4.083544
1996,8.467660,4.148108
1997,8.444987,4.114970
1998,8.389696,4.044522
1999,8.214734,4.079117
2000,8.262151,4.133621
2001,8.727766,4.107635
2002,8.907649,4.144280
2003,9.530435,4.307030
2004,9.508290,4.399256
2005,9.611559,4.493561
2006,9.286233,4.585831
2007,8.930046,4.661509
2008,8.826654,4.682571
2009,8.064857,4.545518
2010,8.607228,4.744937
2011,8.327113,4.848876
2012,7.977174,4.854014
2013,7.989108,4.837742
2014,7.505862,4.804597
2015,7.676710,4.739116
2016,7.692766,4.682487
2017,7.910357,4.705259
2018,7.528743,4.752195
2019,7.651411,4.747814
2020,6.969735,4.457744
2021,7.332545,4.634748
2022,6.779518,4.678452
2023,6.232890,4.707772
2024,6.180113,4.729075
