"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,51.900178,14.007512,9.620895,13.948780,14.284640,0.038350,,
1991,55.670467,14.796389,9.939383,15.424399,15.469965,0.040331,,
1992,50.857748,11.552400,8.998348,15.389876,14.880420,0.036704,,
1993,51.418289,11.626255,9.431562,15.516638,14.801460,0.042374,,
1994,50.824426,11.914575,9.834608,15.559763,13.471087,0.044395,,
1995,53.376815,13.058696,9.794653,15.838776,14.649639,0.035052,,
1996,57.528894,14.033582,10.422406,17.394240,15.637348,0.041318,,
1997,56.276340,14.079838,11.552989,16.405040,14.199185,0.039288,,
1998,56.090846,13.137395,10.176625,18.511872,14.220456,0.044497,,
1999,54.956928,12.614042,9.472206,17.977113,14.849962,0.043604,,
2000,54.472364,12.314342,9.743736,18.791022,13.580554,0.042709,,
2001,58.637517,13.705182,9.787656,20.285585,14.817280,0.041814,,
2002,59.826169,13.369387,10.174153,22.199485,14.042230,0.040914,,
2003,65.290651,15.915316,10.565488,24.056463,14.713372,0.040012,,
2004,65.444414,15.852907,10.785071,24.575256,14.192077,0.039103,,
2005,65.965182,16.024720,11.084168,24.932385,13.885534,0.038375,,
2006,63.156491,14.821366,10.923760,23.670613,13.703148,0.037605,,
2007,59.756374,13.616223,10.515592,23.904649,11.683012,0.036898,,
2008,58.882113,13.446729,10.890396,22.443590,12.065210,0.036188,,
2009,55.717240,12.437306,10.380256,21.793828,11.070399,0.035451,,
2010,58.652422,13.746708,11.025512,22.610678,11.234777,0.034746,,
2011,56.436095,13.353861,11.072885,21.961080,10.014400,0.033868,,
2012,54.204406,11.974395,10.859960,21.782533,9.554380,0.033139,,
2013,54.415768,10.972638,10.614414,22.982505,9.813778,0.032432,,
2014,50.720471,9.353472,10.177632,22.335026,8.822609,0.031732,,
2015,52.568356,10.457621,10.044074,22.870831,9.164881,0.030950,,
2016,53.841705,10.239608,10.348218,23.748105,9.475427,0.030348,,
2017,55.584064,10.851582,10.592742,24.532572,9.577598,0.029570,,
2018,54.359119,10.002538,10.805171,24.707113,8.815282,0.029014,,
2019,54.734119,10.034840,10.792536,24.802938,9.074853,0.028952,,
2020,49.760200,8.666926,10.529096,21.465790,9.069366,0.029022,,
2021,51.704251,8.685628,10.982817,22.252358,9.754486,0.028962,,
2022,48.038019,8.173845,10.474793,21.036060,8.324365,0.028956,,
2023,44.182123,7.296154,9.458257,20.063885,7.334870,0.028957,,
2024,42.705476,7.255778,9.148691,19.512106,6.759910,0.028990,,
