"Year","Canada","World"
1950,11.215381,2.372741
1951,11.549142,2.509281
1952,11.004526,2.496828
1953,10.777969,2.519009
1954,10.635354,2.522133
1955,10.771196,2.710743
1956,11.740080,2.829705
1957,10.979631,2.864250
1958,10.644016,2.886446
1959,10.526810,2.981084
1960,10.760642,3.109071
1961,10.616398,3.068418
1962,11.115183,3.117449
1963,11.117533,3.212604
1964,12.292959,3.313059
1965,12.794936,3.389338
1966,12.918044,3.482441
1967,13.800291,3.521091
1968,14.627744,3.638560
1969,14.601126,3.800910
1970,15.917142,4.031813
1971,16.094503,4.112250
1972,17.135627,4.219880
1973,16.943947,4.358162
1974,17.079149,4.257539
1975,17.150003,4.190445
1976,17.019039,4.342568
1977,17.195241,4.387958
1978,17.340651,4.445411
1979,18.236694,4.491730
1980,18.066895,4.385349
1981,17.312759,4.204303
1982,16.511150,4.095304
1983,16.101215,4.047822
1984,16.609331,4.114002
1985,16.317906,4.177916
1986,15.496510,4.164586
1987,16.302299,4.215461
1988,16.993027,4.303169
1989,16.990099,4.285587
1990,16.560421,4.275440
1991,16.053682,4.288762
1992,16.350452,4.101485
1993,16.190782,4.079975
1994,16.515214,4.061836
1995,16.777854,4.097368
1996,17.156561,4.164388
1997,17.469004,4.131378
1998,17.569715,4.059213
1999,17.890447,4.096031
2000,18.455027,4.148800
2001,18.010024,4.125716
2002,17.997616,4.162733
2003,18.368201,4.327484
2004,18.148935,4.421495
2005,17.781733,4.515645
2006,17.465128,4.611727
2007,18.011089,4.688505
2008,17.332787,4.708763
2009,16.158006,4.572416
2010,16.333290,4.774950
2011,16.412075,4.878259
2012,16.263783,4.887112
2013,16.223443,4.868795
2014,15.999862,4.830362
2015,15.830127,4.767311
2016,15.475408,4.713752
2017,15.582359,4.735624
2018,15.635882,4.780249
2019,15.511325,4.778430
2020,13.898116,4.479880
2021,14.160961,4.676995
2022,14.318587,4.676281
2023,14.164020,4.697341
