"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-2017.762288,2140.035372,-94.463602,237.792323,-188.209892,
1991,-2070.334421,2170.720795,-93.521641,248.271841,-192.773857,
1992,-2083.259392,2202.195766,-104.356696,251.198487,-194.175278,
1993,-2090.332274,2216.606187,-105.128140,252.542415,-194.765677,
1994,-2100.346839,2242.511764,-108.742360,249.476640,-195.619470,
1995,-2096.588758,2245.591387,-107.773465,253.137628,-195.286957,
1996,-2152.813401,2286.521918,-108.538071,261.074498,-199.924260,
1997,-2165.300029,2313.392255,-117.022304,263.528089,-200.967757,
1998,-2164.466041,2287.930521,-105.085616,265.126429,-200.430986,
1999,-2164.138384,2329.949829,-119.989419,262.446402,-200.520031,
2000,-2160.807898,2322.001972,-114.117973,267.465128,-199.876927,
2001,-2187.930018,2340.983274,-121.459896,265.861088,-202.107609,
2002,-2173.365202,2356.239760,-133.564242,265.123115,-200.961801,
2003,-2158.951799,2345.977022,-148.052688,267.699267,-199.582316,
2004,-2154.756043,2372.049429,-148.099997,270.917546,-199.152162,
2005,-2143.310426,2350.824149,-141.436738,272.241518,-197.478008,
2006,-2176.755714,2343.159259,-126.186460,277.919873,-199.778260,
2007,-2173.174864,2283.831073,-90.548273,276.750842,-198.708854,
2008,-2184.862504,2223.757078,-54.160849,280.884735,-199.210058,
2009,-2197.654965,2199.118437,-52.531293,283.931896,-200.319577,
2010,-2195.440520,2268.226959,-90.758924,277.712452,-201.497661,
2011,-2230.354660,2284.567339,-75.026590,279.699066,-204.378528,
2012,-2247.491066,2290.519695,-66.307691,280.955216,-205.727654,
2013,-2257.739546,2311.015374,-72.000197,279.773837,-206.739343,
2014,-2266.452822,2315.799848,-75.690475,284.408769,-207.498357,
2015,-2264.248819,2325.964606,-77.570467,282.170017,-207.495665,
2016,-2302.875672,2365.155042,-89.670158,288.882082,-210.776708,
2017,-2300.690553,2356.492560,-88.099680,291.455346,-210.451732,
2018,-2294.514923,2356.171469,-90.562113,291.165740,-209.720603,
2019,-2302.165234,2322.844204,-70.957440,293.366373,-210.127765,
2020,-2304.510458,2342.559372,-81.541877,287.851908,-210.823497,
2021,-2307.036242,2325.612596,-76.798422,294.956129,-210.424669,
2022,-2311.775026,2310.225925,-69.334677,294.435659,-210.695980,
2023,-2267.994568,2250.504339,-63.612578,287.007339,-206.236716,
2024,-2254.964647,2246.184263,-71.165801,282.097823,-205.094908,
