"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,41.771789,24.619807,21.443659
1991,40.433023,24.176902,20.023131
1992,41.029021,25.057508,20.496783
1993,41.855902,26.193288,21.488823
1994,42.573891,27.622267,23.878003
1995,41.263163,28.008707,25.396418
1996,41.030772,29.155526,26.169933
1997,40.572502,30.644968,27.969474
1998,40.291808,32.248336,28.438990
1999,39.704052,33.646061,29.994538
2000,39.332616,33.925722,30.581743
2001,39.228572,34.501719,30.213730
2002,39.435478,35.494843,30.467941
2003,39.647579,36.921915,33.917864
2004,39.917132,38.582780,36.057177
2005,39.135059,39.348693,38.376893
2006,38.771476,40.219524,39.401414
2007,38.976561,41.537991,43.509536
2008,38.189429,41.685993,45.892310
2009,37.926982,42.965940,46.114872
2010,37.372752,44.081972,47.757483
2011,36.109440,42.529969,49.277886
2012,35.176983,43.431163,48.524655
2013,35.400013,45.448220,48.711441
2014,34.199248,45.857552,48.182192
2015,34.597636,47.518997,44.144479
2016,34.457013,50.198326,40.958064
2017,32.803240,52.580705,41.596091
2018,32.074997,54.457672,43.086931
2019,31.384903,56.312118,42.178901
2020,24.571446,48.023146,36.907986
2021,25.450531,49.895132,39.599543
2022,25.830743,52.297033,41.063543
2023,25.553224,54.289447,39.826887
