"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1988,2.867609,1.605267,2.071102
1990,2.949589,1.326017,1.204434
1991,1.430060,0.708537,0.903868
1992,1.796637,0.781483,0.694601
1993,2.128338,0.882469,0.704660
1994,2.135573,0.822940,0.480912
1995,2.366577,0.892547,0.478648
1996,2.144146,0.853228,0.792578
1997,1.815596,0.759548,1.344928
1998,2.301059,0.953118,1.615083
1999,2.406434,0.949580,1.686349
2000,2.463305,0.822632,1.467165
2001,2.532389,0.793340,1.614811
2002,2.793656,0.807888,1.621871
2003,3.004938,0.902298,2.048500
2004,3.320869,1.098344,2.025536
2005,3.610667,1.176252,2.289988
2006,4.182091,1.115976,2.208909
2007,4.242625,1.030124,1.955375
2008,4.488623,1.114448,2.084705
2009,4.656172,1.072732,1.924108
2010,4.608633,1.035291,1.802224
2011,4.583930,1.063351,1.827048
2012,4.803552,1.124155,1.887466
2013,4.332503,0.946535,1.553134
2014,4.967399,1.108991,1.766981
2015,5.437296,1.257183,1.953795
2016,5.563122,1.270065,1.935780
2017,5.610678,1.298574,1.926325
2018,5.705432,1.399321,2.029185
2019,5.901926,1.479847,2.101876
2020,5.657495,1.402497,1.897946
2021,6.089471,1.535348,1.968157
2022,6.153907,1.514364,1.870302
2023,6.299389,1.551534,1.877622
