"Year","Bulgaria","World"
1950,0.513563,2.378734
1951,0.550658,2.515504
1952,0.632086,2.502896
1953,0.706596,2.524970
1954,0.751749,2.527923
1955,0.894477,2.716614
1956,0.987947,2.835461
1957,1.082008,2.869636
1958,1.116636,2.891376
1959,1.305814,2.985590
1960,1.441402,3.112931
1961,1.548430,3.071906
1962,1.705278,3.120741
1963,1.765247,3.215595
1964,1.932031,3.315825
1965,2.020682,3.391959
1966,2.089223,3.484865
1967,2.470132,3.523155
1968,2.490747,3.640223
1969,2.451204,3.802135
1970,2.436611,4.032588
1971,2.198529,4.112597
1972,2.152837,4.219747
1973,2.089087,4.355556
1974,1.864917,4.253289
1975,2.081085,4.173319
1976,1.884561,4.310191
1977,1.840429,4.352449
1978,1.928417,4.432504
1979,2.137397,4.465701
1980,2.271403,4.364099
1981,2.204573,4.168842
1982,2.392783,4.060496
1983,2.404354,4.023942
1984,2.339490,4.068703
1985,2.233325,4.137420
1986,2.536964,4.122175
1987,2.634923,4.179654
1988,2.408277,4.262697
1989,2.429632,4.241189
1990,2.266255,4.266701
1991,2.107249,4.282473
1992,2.469928,4.090168
1993,2.422930,4.068620
1994,2.354346,4.047994
1995,2.484796,4.083544
1996,2.553936,4.148108
1997,2.389734,4.114970
1998,2.439523,4.044522
1999,2.081683,4.079117
2000,2.107586,4.133621
2001,2.224077,4.107635
2002,2.208875,4.144280
2003,2.329793,4.307030
2004,2.368173,4.399256
2005,2.237809,4.493561
2006,2.315807,4.585831
2007,2.564711,4.661509
2008,2.565898,4.682571
2009,2.406458,4.545518
2010,2.613290,4.744937
2011,3.391138,4.848876
2012,3.089550,4.854014
2013,2.649030,4.837742
2014,2.822539,4.804597
2015,3.216470,4.739116
2016,2.827316,4.682487
2017,3.163708,4.705259
2018,2.849899,4.752195
2019,2.650888,4.747814
2020,2.137510,4.457744
2021,2.678585,4.634748
2022,3.366364,4.678452
2023,2.008959,4.707772
2024,1.444806,4.729075
