"Year","Bulgaria","World"
1950,1.047521,2.372741
1951,1.129451,2.509281
1952,1.292719,2.496828
1953,1.437805,2.519009
1954,1.531251,2.522133
1955,1.608369,2.710743
1956,1.707072,2.829705
1957,1.875458,2.864250
1958,2.016539,2.886446
1959,2.508998,2.981084
1960,2.822021,3.109071
1961,3.255606,3.068418
1962,3.818540,3.117449
1963,4.239444,3.212604
1964,5.235941,3.313059
1965,5.611732,3.389338
1966,5.863112,3.482441
1967,6.584079,3.521091
1968,7.046869,3.638560
1969,7.789069,3.800910
1970,7.127383,4.031813
1971,7.427669,4.112250
1972,7.595145,4.219880
1973,7.850272,4.358162
1974,8.073902,4.257539
1975,8.229594,4.190445
1976,8.196015,4.342568
1977,8.482600,4.387958
1978,9.065044,4.445411
1979,8.794757,4.491730
1980,8.601933,4.385349
1981,8.919929,4.204303
1982,10.015532,4.095304
1983,10.055488,4.047822
1984,9.737125,4.114002
1985,10.005672,4.177916
1986,10.253176,4.164586
1987,10.295023,4.215461
1988,10.146913,4.303169
1989,10.018344,4.285587
1990,8.752645,4.275440
1991,7.065508,4.288762
1992,6.628153,4.101485
1993,6.792293,4.079975
1994,6.604677,4.061836
1995,6.841326,4.097368
1996,6.967984,4.164388
1997,6.718541,4.131378
1998,6.461701,4.059213
1999,5.693372,4.096031
2000,5.630239,4.148800
2001,6.113026,4.125716
2002,5.797689,4.162733
2003,6.389063,4.327484
2004,6.309258,4.421495
2005,6.485403,4.515645
2006,6.685738,4.611727
2007,7.222503,4.688505
2008,7.050113,4.708763
2009,6.003729,4.572416
2010,6.309066,4.774950
2011,7.053442,4.878259
2012,6.458212,4.887112
2013,5.749598,4.868795
2014,6.138175,4.830362
2015,6.594906,4.767311
2016,6.268213,4.713752
2017,6.616222,4.735624
2018,6.122567,4.780249
2019,5.993232,4.778430
2020,5.250512,4.479880
2021,6.161182,4.676995
2022,6.925103,4.676281
2023,5.396998,4.697341
