"YYYYMM","Total","VLSFO","MGO","LSMGO","HSFO","Marine Diesel Oil"
200901,177.976000,"NaN","NaN","NaN",170.175000,7.801000
200902,163.201000,"NaN","NaN","NaN",154.010000,9.191000
200903,215.008000,"NaN","NaN","NaN",204.112000,10.896000
200904,204.432000,"NaN","NaN","NaN",195.411000,9.021000
200905,229.327000,"NaN","NaN","NaN",219.787000,9.540000
200906,229.237000,"NaN","NaN","NaN",222.064000,7.173000
200907,214.983000,"NaN","NaN","NaN",206.019000,8.964000
200908,234.431000,"NaN","NaN","NaN",224.916000,9.515000
200909,227.689000,"NaN","NaN","NaN",219.137000,8.552000
200910,"NaN","NaN","NaN","NaN","NaN",9.144000
200911,297.479000,"NaN","NaN","NaN",286.152000,11.327000
200912,276.578000,"NaN","NaN","NaN",268.233000,8.345000
201001,232.485000,"NaN","NaN","NaN",223.919000,8.566000
201002,195.648000,"NaN","NaN","NaN",189.747000,5.901000
201003,285.445000,"NaN","NaN","NaN",274.355000,11.090000
201004,235.412000,"NaN","NaN","NaN",225.499000,9.913000
201005,273.789000,"NaN","NaN","NaN",255.824000,17.965000
201006,223.313000,"NaN","NaN","NaN",215.299000,8.014000
201007,272.174000,"NaN","NaN","NaN",245.039000,27.135000
201008,243.791000,"NaN","NaN","NaN",232.020000,11.771000
201009,296.224000,"NaN","NaN","NaN",281.674000,14.550000
201010,265.028000,"NaN","NaN","NaN",257.783000,7.245000
201011,263.760000,"NaN","NaN","NaN",256.958000,6.802000
201012,280.461000,"NaN","NaN","NaN",272.388000,8.073000
201101,278.795000,"NaN","NaN","NaN",261.204000,17.591000
201102,285.342000,"NaN","NaN","NaN",275.617000,9.725000
201103,291.633000,"NaN","NaN","NaN",284.214000,7.419000
201104,276.871000,"NaN","NaN","NaN",264.458000,12.413000
201105,294.639000,"NaN","NaN","NaN",285.774000,8.865000
201106,273.548000,"NaN","NaN","NaN",265.634000,7.914000
201107,295.385000,"NaN","NaN","NaN",285.249000,10.136000
201108,272.815000,"NaN","NaN","NaN",256.884000,15.931000
201109,262.260000,"NaN","NaN","NaN",256.491000,5.769000
201110,314.640000,"NaN","NaN","NaN",306.538000,8.102000
201111,263.760000,"NaN","NaN","NaN",256.958000,6.802000
201112,280.461000,"NaN","NaN","NaN",272.388000,8.073000
201201,299.806000,"NaN","NaN","NaN",293.024000,6.782000
201202,296.749000,"NaN","NaN","NaN",288.806000,7.943000
201203,293.811000,"NaN","NaN","NaN",288.261000,5.550000
201204,299.049000,"NaN","NaN","NaN",292.291000,6.758000
201205,292.981000,"NaN","NaN","NaN",287.857000,5.124000
201206,270.355000,"NaN","NaN","NaN",264.873000,5.483000
201207,242.011000,"NaN","NaN","NaN",234.771000,7.240000
201208,254.951000,"NaN","NaN","NaN",249.673000,5.278000
201209,259.394000,"NaN","NaN","NaN",251.106000,8.288000
201210,324.608000,"NaN","NaN","NaN",312.919000,11.689000
201211,301.806000,"NaN","NaN","NaN",293.331000,8.474000
201212,252.899000,"NaN","NaN","NaN",236.429000,16.470000
201301,303.724000,"NaN","NaN","NaN",290.447000,13.277000
201302,298.977000,"NaN","NaN","NaN",290.211000,8.766000
201303,297.965000,"NaN","NaN","NaN",288.440000,9.525000
201304,301.025000,"NaN","NaN","NaN",290.547000,10.478000
201305,290.918000,"NaN","NaN","NaN",278.637000,12.281000
201306,203.607000,"NaN","NaN","NaN",194.500000,9.107000
201307,264.932000,"NaN","NaN","NaN",252.036000,12.896000
201308,272.514000,"NaN","NaN","NaN",247.064000,25.450000
201309,256.223000,"NaN","NaN","NaN",248.701000,7.522000
201310,311.867000,"NaN","NaN","NaN",304.921000,6.946000
201311,270.759000,"NaN","NaN","NaN",260.211000,10.548000
201312,253.001000,"NaN","NaN","NaN",247.334000,5.667000
201401,309.989000,"NaN","NaN","NaN",304.287000,5.702000
201402,280.113000,"NaN","NaN","NaN",276.312000,3.801000
201403,306.712000,"NaN","NaN","NaN",298.717000,7.995000
201404,262.265000,"NaN","NaN","NaN",254.287000,7.978000
201405,244.887000,"NaN","NaN","NaN",238.209000,6.678000
201406,241.001000,"NaN","NaN","NaN",233.551000,7.450000
201407,257.682000,"NaN","NaN","NaN",247.919000,9.763000
201408,206.264000,"NaN","NaN","NaN",203.076000,3.188000
201409,210.849000,"NaN","NaN","NaN",207.401000,3.448000
201410,274.373000,"NaN","NaN","NaN",267.575000,6.798000
201411,325.288000,"NaN","NaN","NaN",319.908000,5.380000
201412,280.085000,"NaN","NaN","NaN",265.923000,14.162000
201501,336.268000,"NaN","NaN","NaN",313.298000,22.970000
201502,332.610000,"NaN","NaN","NaN",310.924000,21.686000
201503,303.054000,"NaN","NaN","NaN",276.659000,26.395000
201504,275.230000,"NaN","NaN","NaN",248.550000,26.680000
201505,309.568000,"NaN","NaN","NaN",291.578000,17.990000
201506,257.874000,"NaN","NaN","NaN",237.603000,20.271000
201507,281.359000,"NaN","NaN","NaN",262.007000,19.352000
201508,321.933000,"NaN","NaN","NaN",302.439000,19.494000
201509,300.066000,"NaN","NaN","NaN",281.323000,18.743000
201510,323.771000,"NaN","NaN","NaN",301.101000,22.670000
201511,330.124000,"NaN","NaN","NaN",315.127000,14.997000
201512,346.580000,"NaN","NaN","NaN",325.306000,21.274000
201601,393.605000,"NaN","NaN","NaN",373.230000,20.375000
201602,359.808000,"NaN","NaN","NaN",335.760000,24.048000
201603,330.476000,"NaN","NaN","NaN",311.132000,19.344000
201604,297.095000,"NaN","NaN","NaN",278.484000,18.611000
201605,301.699000,"NaN","NaN","NaN",281.566000,20.133000
201606,272.084000,"NaN","NaN","NaN",252.093000,19.991000
201607,316.164000,"NaN","NaN","NaN",290.600000,25.564000
201608,320.162000,"NaN","NaN","NaN",298.208000,21.954000
201609,339.081000,"NaN","NaN","NaN",313.236000,25.845000
201610,341.232000,"NaN","NaN","NaN",316.154000,25.078000
201611,351.812000,"NaN","NaN","NaN",328.458000,23.354000
201612,386.044000,"NaN","NaN","NaN",357.819000,28.225000
201701,430.475000,"NaN","NaN","NaN",400.169000,30.306000
201702,401.232000,"NaN","NaN","NaN",371.425000,29.807000
201703,414.871000,"NaN","NaN","NaN",380.215000,34.656000
201704,425.259000,"NaN","NaN","NaN",392.943000,32.316000
201705,378.822000,"NaN","NaN","NaN",346.561000,32.261000
201706,365.433000,"NaN","NaN","NaN",341.051000,24.382000
201707,329.647000,"NaN","NaN","NaN",306.097000,23.550000
201708,355.952000,"NaN","NaN","NaN",331.873000,24.079000
201709,373.831000,"NaN","NaN","NaN",345.645000,28.186000
201710,391.030000,"NaN","NaN","NaN",357.190000,33.840000
201711,377.524000,"NaN","NaN","NaN",345.992000,31.532000
201712,390.846000,"NaN","NaN","NaN",354.856000,35.990000
