"YYYYMM","Total","Marine diesel oil","Marine gasoil","Low-S marine gasoil","Marine fuel oil","Low-sulphur fuel oil","Ultra-low-S fuel oil"
199910,1574.850000,35.580000,100.030000,0,1439.240000,0,0
199911,1334.110000,31.520000,90.360000,0,1212.230000,0,0
199912,1562.210000,31.750000,106.190000,0,1424.270000,0,0
200001,1603.700000,27.980000,105.870000,0,1469.850000,0,0
200002,1425.630000,27.130000,89.620000,0,1308.880000,0,0
200003,1356.620000,23.850000,92.760000,0,1240.010000,0,0
200004,1476.450000,23.480000,101.220000,0,1351.750000,0,0
200005,1565.900000,29.080000,100.240000,0,1436.580000,0,0
200006,1555.790000,24.230000,105.530000,0,1426.030000,0,0
200007,1621.440000,22.440000,104.460000,0,1494.540000,0,0
200008,1732.280000,24.360000,108.170000,0,1599.750000,0,0
200009,1535.990000,17.100000,108.220000,0,1410.670000,0,0
200010,1572.480000,34.030000,102.240000,0,1436.210000,0,0
200011,1457.300000,21.130000,109.890000,0,1326.280000,0,0
200012,1747.210000,21.850000,129.540000,0,1595.820000,0,0
200101,1717.900000,26.660000,125.180000,0,1566.060000,0,0
200102,1533.470000,24.190000,118.270000,0,1391.010000,0,0
200103,1628.850000,20.930000,123.580000,0,1484.340000,0,0
200104,1714.530000,20.310000,118.860000,0,1575.360000,0,0
200105,1569.870000,19.910000,118.440000,0,1431.520000,0,0
200106,1631.460000,17.130000,120.480000,0,1493.850000,0,0
200107,1783.650000,19.390000,161.920000,0,1602.340000,0,0
200108,1737.360000,23.990000,136.200000,0,1577.170000,0,0
200109,1728.090000,20.460000,130.430000,0,1577.200000,0,0
200110,1877.730000,19.300000,158.090000,0,1700.340000,0,0
200111,1706.940000,18.390000,157.770000,0,1530.780000,0,0
200112,1721.860000,19.160000,206.140000,0,1496.560000,0,0
200201,1611.550000,20.030000,163.680000,0,1427.840000,0,0
200202,1594.260000,14.520000,147.540000,0,1432.200000,0,0
200203,1681.410000,17.870000,172.130000,0,1491.410000,0,0
200204,1681.720000,16.430000,147.980000,0,1517.310000,0,0
200205,1690.240000,18.940000,139.570000,0,1531.730000,0,0
200206,1654.170000,14.380000,139.100000,0,1500.690000,0,0
200207,1641.580000,16.840000,169.240000,0,1455.500000,0,0
200208,1664.190000,14.170000,142.610000,0,1507.410000,0,0
200209,1609.520000,14.780000,144.080000,0,1450.660000,0,0
200210,1701.870000,13.870000,133.830000,0,1554.170000,0,0
200211,1817.630000,13.270000,120.470000,0,1683.890000,0,0
200212,1748.230000,11.960000,132.630000,0,1603.640000,0,0
200301,1800.140000,21.950000,116.070000,0,1662.120000,0,0
200302,1607.060000,11.130000,94.500000,0,1501.430000,0,0
200303,1761.160000,13.620000,109.140000,0,1638.400000,0,0
200304,1659.680000,13.500000,125.030000,0,1521.150000,0,0
200305,1747.630000,12.580000,117.830000,0,1617.220000,0,0
200306,1681.040000,15.780000,115.260000,0,1550,0,0
200307,1604.910000,11.770000,111.630000,0,1481.510000,0,0
200308,1710.260000,12.910000,108.590000,0,1588.760000,0,0
200309,1730.120000,14.190000,107.040000,0,1608.890000,0,0
200310,1736.050000,14.260000,113.420000,0,1608.370000,0,0
200311,1853.610000,11.500000,114.330000,0,1727.780000,0,0
200312,1917.320000,13.020000,102.240000,0,1802.060000,0,0
200401,1858.620000,12.210000,108.570000,0,1737.840000,0,0
200402,1766.840000,10.670000,101.680000,0,1654.490000,0,0
200403,1869.180000,9.510000,120.800000,0,1738.870000,0,0
200404,1985.010000,13.300000,118.650000,0,1853.060000,0,0
200405,1977.570000,10.600000,121.750000,0,1845.220000,0,0
200406,1963.030000,9.040000,126.020000,0,1827.970000,0,0
200407,1977.540000,12.960000,113.670000,0,1850.910000,0,0
200408,1979.100000,10.650000,109.840000,0,1858.610000,0,0
200409,2019.510000,8.860000,117.570000,0,1893.080000,0,0
200410,2004.920000,11.360000,102.740000,0,1890.820000,0,0
200411,2008.750000,9.180000,108.270000,0,1891.300000,0,0
200412,2156.810000,10.010000,128.930000,0,2017.870000,0,0
200501,2102.250000,9.510000,116.120000,0,1976.620000,0,0
200502,1807.250000,7.130000,114.030000,0,1686.090000,0,0
