"YYYYMM","Total Fuels","LNG","Methanol","Fuel Oil","Marine gasoil","Marine diesel oil"
201003,2920.880000,,,2802.604000,116.096000,2.180000
201006,2919.692000,,,2803.598000,115.291000,0.803000
201009,3093.146000,,,2979.048000,112.057000,2.041000
201012,2791.931000,,,2672.097000,119.421000,0.413000
201103,2946.963000,,,2814.333000,128.707000,3.923000
201106,3101.563000,,,2981.171000,119.269000,1.123000
201109,3113.537000,,,2998.896000,113.438000,1.203000
201112,2892.531000,,,2783.403000,108.902000,0.226000
201203,2742.941000,,,2613.314000,126.596000,3.030000
201206,2680.968000,,,2565.704000,115.126000,0.138000
201209,2683.227000,,,2562.038000,121.064000,0.125000
201212,2662.676000,,,2533.578000,129.076000,0.022000
201303,2522.694000,,,2409.336000,113.157000,0.200000
201306,2569.689000,,,2448.170000,121.385000,0.134000
201309,2626.716000,,,2517.419000,109.066000,0.231000
201312,2557.107000,,,2446.332000,108.429000,2.346000
201403,2765.965000,,,2644.879000,118.100000,2.986000
201406,2564.597000,,,2433.220000,127.963000,3.414000
201409,2564.769000,,,2435.458000,126.548000,2.763000
201412,2548.369000,,,2313.526000,223.797000,11.047000
201503,2666.407000,,,2252.149000,372.723000,41.535000
201506,2637.209000,,,2223.143000,376.683000,37.384000
201509,2603.334000,,,2207.783000,354.351000,41.200000
201512,2434.540000,,,2055.435000,350.551000,28.555000
201603,2621.056000,,,2239.976000,351.819000,29.261000
201606,2483.700000,,,2147.372000,309.330000,26.998000
201609,2354.724000,,,2018.125000,310.358000,26.241000
201612,2417.827000,,,2078.171000,298.415000,41.241000
201703,2406.782000,,,2058.216000,323.956000,24.610000
201706,2425.188000,,,2082.141000,299.356000,43.691000
201709,2437.239000,,,2107.967000,289.538000,39.734000
201712,2352.362000,,,2007.143000,322.393000,22.826000
201803,2473.871000,0.734850,,2134.350000,299.972000,38.815000
201806,2297.585000,1.307250,,1976.535000,297.307000,22.435000
201809,2245.906000,3.190500,,1940.818000,282.256000,19.641000
201812,2211.847000,4.326300,,1867.149000,329.139000,11.233000
201903,2248.950000,5.446350,,1900.776000,323.597000,19.131000
201906,2180.573000,6.319350,,1802.538000,304.500000,67.215000
201909,2065.262000,11.163600,,1693.136000,322.133000,38.830000
201912,2197.094000,9.270450,,1777.649000,357.145000,53.029000
202003,2336.928000,15.941700,,1903.761000,354.103000,63.122000
202006,2200.546000,25.036650,,1780.227000,319.266000,76.017000
202009,2238.531000,21.880350,,1841.309000,260.307000,115.034000
202012,2456.275000,31.791600,,1992.687000,286.749000,145.047000
202103,2356.605000,62.770050,,1864.820000,253.081000,175.934000
202106,2414.059000,70.662150,0.250000,1903.508000,256.651000,182.988000
202109,2534.710000,95.962500,,1985.411000,265.151000,188.185000
202112,2558.923000,42.504300,,2045.337000,259.985000,211.097000
202203,2553.306000,46.160550,,1998.258000,298.994000,209.894000
202206,2483.211000,50.431050,,1986.746000,278.450000,167.585000
202209,2739.836000,60.008400,0.500000,2210.795000,303.784000,164.748000
202212,2850.240000,26.369550,1,2336.772000,303.921000,180.136000
202303,2671.478000,38.739600,,2153.411000,266.691000,212.636000
202306,2645.941000,80.911800,,2147.830000,263.776000,153.424000
202309,2442.181000,91.988100,0.250000,1955.457000,249.075000,145.410000
202312,2152.793000,67.019850,0.500000,1708.067000,226.877000,150.328000
202403,2418.512000,96.861150,,1919.932000,275.676000,126.042000
202406,2456.998000,110.308950,0.950000,1968.936000,265.190000,111.612000
202409,2525.560000,99.054000,2.066000,2077.713000,238.417000,108.308000
202412,2418.508000,118.639350,0.930000,1887.416000,284.767000,126.756000
202503,2427.314000,119.269350,5.490000,1891.470000,310.767000,100.317000
202506,2489.596000,92.436300,3.958000,1951.440000,339.955000,101.808000
202509,2450.542000,122.046300,2.371000,1914.159000,333.073000,78.891000
