"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,9.119222,5.455069,0.796918,1.402041,1.465194,,,
1991,9.395503,5.671446,1.212495,1.094528,1.417034,,,
1992,9.054751,5.055656,0.774540,1.759633,1.464921,,,
1993,9.906039,6.058998,0.755360,1.576861,1.514821,,,
1994,10.256090,6.222916,0.742573,1.700543,1.590058,,,
1995,10.571615,5.761548,0.809705,2.291408,1.708954,,,
1996,10.571100,5.951545,0.806508,2.199705,1.613342,,,
1997,10.514527,5.899113,0.806508,2.178602,1.630304,,,
1998,11.100239,5.692593,0.806508,2.330740,2.270399,,,
1999,11.207949,5.422782,0.956755,3.039103,1.789309,,,
2000,8.896217,4.274896,0.828885,2.114032,1.678405,,,
2001,10.450287,6.286649,0.784131,1.729186,1.650322,,,
2002,10.684819,5.920929,0.777737,3.146414,0.839739,,,
2003,8.248012,4.332248,0.755360,1.494949,1.665456,,,
2004,9.145338,4.983762,0.701015,1.210286,2.250275,,,
2005,9.676623,5.150154,0.813141,1.301014,2.412313,,,
2006,9.777473,3.557164,1.258182,1.273392,3.688736,,,
2007,10.824723,3.073934,1.417757,3.146414,3.186618,,,
2008,9.859918,2.497386,1.001726,3.146414,3.214393,,,
2009,9.147126,2.320347,0.432260,3.146414,3.248105,,,
2010,9.467771,3.894310,0.814852,1.430843,3.327766,,,
2011,11.359290,5.495977,1.035898,2.332174,2.495241,,,
2012,9.990873,2.864865,1.284004,2.692697,3.149306,,,
2013,12.977270,6.534018,0.608955,2.999383,2.834915,,,
2014,12.867157,6.579545,0.754539,2.654344,2.878729,,,
2015,12.535137,6.200152,0.757364,2.437264,3.140357,,,
2016,11.581014,5.619014,0.754916,1.867506,3.339578,,,
2017,11.405368,5.096332,0.793924,1.928675,3.586436,,,
2018,12.646367,5.421197,0.803953,2.637001,3.784216,,,
2019,11.904162,5.452137,0.778758,2.173981,3.499286,,,
2020,10.290157,4.219556,0.922645,1.478927,3.669030,,,
2021,11.476212,4.539438,0.962982,1.597106,4.376686,,,
2022,12.765386,5.695227,0.962840,1.444928,4.662391,,,
