"Year","Residential: Stationary combustion","All others"
1990,14.135111,0
1991,14.426965,0
1992,14.702431,0
1993,14.960080,0
1994,15.232425,0
1995,15.360534,0
1996,15.543528,0
1997,15.744340,0
1998,26.826709,0
1999,16.335982,0
2000,16.646955,0
2001,16.897450,0
2002,2.909253,0.297360
2003,17.409756,0
2004,17.671566,0
2005,16.748428,0
2006,19.513004,0
2007,30.693453,0.297360
2008,31.021033,0.297360
2009,31.416402,0.297360
2010,20.165095,0.157248
2011,20.333887,0.157248
2012,20.505956,0.157248
2013,20.915644,0.157248
2014,21.333526,0.157248
2015,21.577701,0.157248
2016,21.943142,0.157248
2017,22.268230,0.157248
2018,22.531049,0.157248
2019,22.798790,0.157248
2020,23.071470,0.157248
2021,24.556818,0.157248
2022,17.145885,0.157248
