"Year","Zimbabwe","World"
1950,1.139347,2.378734
1951,1.217086,2.515504
1952,1.326711,2.502896
1953,1.401599,2.524970
1954,1.493957,2.527923
1955,1.708208,2.716614
1956,1.805665,2.835461
1957,1.802075,2.869636
1958,1.560744,2.891376
1959,1.687924,2.985590
1960,1.560125,3.112931
1961,1.287722,3.071906
1962,1.205377,3.120741
1963,1.122913,3.215595
1964,1.034505,3.315825
1965,1.168385,3.391959
1966,1.312897,3.484865
1967,1.115025,3.523155
1968,1.301446,3.640223
1969,1.333262,3.802135
1970,1.563317,4.032588
1971,1.624779,4.112597
1972,1.482347,4.219747
1973,1.620664,4.355556
1974,1.531232,4.253289
1975,1.362744,4.173319
1976,1.726539,4.310191
1977,1.439553,4.352449
1978,1.418136,4.432504
1979,1.418815,4.465701
1980,1.365365,4.364099
1981,1.254280,4.168842
1982,1.126129,4.060496
1983,1.287303,4.023942
1984,1.177341,4.068703
1985,1.175772,4.137420
1986,1.454819,4.122175
1987,1.633892,4.179654
1988,1.672681,4.262697
1989,1.633450,4.241189
1990,1.532661,4.266701
1991,1.488787,4.282473
1992,1.560576,4.090168
1993,1.476200,4.068620
1994,1.598672,4.047994
1995,1.368378,4.083544
1996,1.334806,4.148108
1997,1.222621,4.114970
1998,1.218485,4.044522
1999,1.334422,4.079117
2000,1.161661,4.133621
2001,1.044840,4.107635
2002,0.984131,4.144280
2003,0.867340,4.307030
2004,0.762471,4.399256
2005,0.857015,4.493561
2006,0.820283,4.585831
2007,0.768128,4.661509
2008,0.595725,4.682571
2009,0.627703,4.545518
2010,0.655410,4.744937
2011,0.762256,4.848876
2012,0.814700,4.854014
2013,0.832848,4.837742
2014,0.840842,4.804597
2015,0.834557,4.739116
2016,0.725207,4.682487
2017,0.663668,4.705259
2018,0.745570,4.752195
2019,0.672290,4.747814
2020,0.546847,4.457744
2021,0.647126,4.634748
2022,0.761205,4.678452
2023,0.822682,4.707772
2024,0.823665,4.729075
