"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-16.896923,0,0,-0.018305,
1991,-10.510076,0,0,-0.036610,
1992,-9.932456,0,0,-0.054915,
1993,15.941374,0,0,-0.073220,
1994,0.737940,0,0,-0.091524,
1995,2.227738,0,0,-0.109829,
1996,3.568409,0,0,-0.128134,
1997,6.606974,0,0,-0.146439,
1998,4.563631,0,0,-0.164744,
1999,5.891961,0,0,-0.183049,
2000,3.512377,0,0,-0.201354,
2001,3.228709,0,0,-0.219659,
2002,4.897289,0,0,-0.237964,
2003,6.056333,0,0,-0.256268,
2004,4.115704,0,0,-0.274573,
2005,2.635254,0,0,-0.292878,
2006,3.667159,0,0,-0.311183,
2007,4.917612,0,0,-0.329488,
2008,3.147569,0,0,-0.347793,
2009,1.504816,0,0,-0.366098,
2010,3.565638,0,0,-0.366098,
2011,1.007176,0,0,-0.366098,
2012,0.137005,0,0,-0.366098,
2013,2.364978,0,0,-0.366098,
2014,7.615819,0,0,-0.366098,
2015,10.446435,0,0,-0.366098,
2016,8.171500,0,0,-0.366098,
2017,5.697837,0,0,-0.366098,
2018,8.931027,0,0,-0.366098,
2019,11.725566,0,0,-0.366098,
2020,7.413318,0,0,-0.366098,
2021,9.501831,0,0,-0.366098,
2022,18.332398,0,0,-0.366098,
