"Year","Zimbabwe","World"
1950,1.912655,2.372741
1951,2.002409,2.509281
1952,2.159169,2.496828
1953,2.141258,2.519009
1954,2.178651,2.522133
1955,2.547964,2.710743
1956,2.649174,2.829705
1957,2.784967,2.864250
1958,2.478370,2.886446
1959,2.554947,2.981084
1960,2.345932,3.109071
1961,1.963617,3.068418
1962,1.750541,3.117449
1963,1.645592,3.212604
1964,1.608896,3.313059
1965,1.713608,3.389338
1966,1.671430,3.482441
1967,1.451270,3.521091
1968,1.440158,3.638560
1969,1.533110,3.800910
1970,1.528895,4.031813
1971,1.446523,4.112250
1972,1.252492,4.219880
1973,1.345895,4.358162
1974,1.402512,4.257539
1975,1.357986,4.190445
1976,1.467631,4.342568
1977,1.177758,4.387958
1978,1.174354,4.445411
1979,1.201034,4.491730
1980,1.114894,4.385349
1981,0.958855,4.204303
1982,0.890185,4.095304
1983,1.030216,4.047822
1984,0.928678,4.114002
1985,0.897480,4.177916
1986,1.130684,4.164586
1987,1.305649,4.215461
1988,1.328811,4.303169
1989,1.301534,4.285587
1990,1.363811,4.275440
1991,1.358127,4.288762
1992,1.307977,4.101485
1993,1.228984,4.079975
1994,1.263350,4.061836
1995,1.263753,4.097368
1996,1.159924,4.164388
1997,1.169811,4.131378
1998,1.187891,4.059213
1999,1.065965,4.096031
2000,0.934527,4.148800
2001,0.949901,4.125716
2002,0.824100,4.162733
2003,0.586561,4.327484
2004,0.783181,4.421495
2005,0.691522,4.515645
2006,0.428566,4.611727
2007,0.419016,4.688505
2008,0.301555,4.708763
2009,0.329779,4.572416
2010,0.521157,4.774950
2011,0.493281,4.878259
2012,0.301281,4.887112
2013,0.576160,4.868795
2014,1.046653,4.830362
2015,0.768264,4.767311
2016,0.468814,4.713752
2017,0.497802,4.735624
2018,0.557783,4.780249
2019,0.429075,4.778430
2020,0.433079,4.479880
2021,0.507932,4.676995
2022,0.605594,4.676281
2023,0.750773,4.697341
