"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,41.190619,2.609508,7.865905,-0.424124,9.515995,5.976272
2018,86.619788,-5.368313,3.303959,1.522697,8.945451,15.368805
2019,-5.076075,2.373507,21.447344,5.741733,5.224457,9.655298
2020,-132.840740,-6.640343,-4.850060,-0.513136,-1.640978,12.866093
2021,105.783702,-1.244280,-3.456978,-0.653444,7.165945,10.000943
2022,96.137439,-8.724849,14.357102,2.140094,3.629363,26.025586
2023,125.513570,3.791662,-25.476721,1.888863,12.032793,19.105241
2024,85.568454,1.797623,7.158133,6.110194,3.359715,21.576402
2025,-54.852684,-2.170128,21.357810,-0.835286,25.652875,31.329928
2026,2.070641,0.081920,0.443991,0.235583,1.492084,3.636479
